form	sense	year	origin	Loan
alkóv	Alkoven	1763.0	international word	True
alkörmös ∆	Art Artznei,  Kermesbeere, Farbstoff aus dieser Pflanze,  Art süßer Branntwein,  roter Farbstoff, Getränk, Artznei usw, ,  Art roter Artznei,  Purpurlaus,  Wurm,  süßer, roter Branntwein,  Kermesbeere	1626.0		False
alkuszik	es ziemt sich,  unterhandeln,  einen Vertrag schließen,  sich anpassen 	1474.0		False
áll¹	stehen, sich in einer Lage befinden,  stillstehen,  emporragen, sich erheben,  bestehen, existieren,  gelten 〈Wort usw.〉,  aushalten, ertragen,  in eine Lage, in einen Zustand kommen,  abhängen,  sich zusammensetzen, sich offenbaren,  fortdauern, erhalten bleiben,  wert sein, kosten,  stellen,  behaupten,  Stelle, Position,  Dienststelle,  stellen,  behaupten 	1372.0		False
áll²	Kinn,  Kinkette 	1405.0		False
állag	Substanz,  Bestand	1837.0	Latin	True
állam	Haltbarkeit,  Staat,  Substanz,  substantiell,  staatlich 	1836.0	Latin	True
állandó	ständig	1519.0	derived word	False
állapik †	stehenbleiben,  festhalten an etw.,  anhalten 	1416.0		False
állapotos	schwanger	1931.0	derived word	False
álláspont	Ansicht, Standpunkt	1813.0	German	True
állat	Zustand,  Lebewesen,  Sache,  Wesen,  Gestalt,  Gerät,  Tier, Vierfüßer, nagy termetű	1372.0	derived word	False
allé	Allee,  Fuhrweg im Wald 	1752.0	international word	True
alleluja	Halleluja,  〈eine Interjektion〉 halleluja	1416.0	Latin	True
állítmány	Herstellen,  Behauptung, Lehrsatz,  Prädikat	1792.0	internal	False
állítólag	bejahend,  angeblich	1803.0	internal	False
állkapca ×	Kinnlade,	1550.0	compound	False
állkapocs	Kinnlade	1809.0	compound	False
állomás	Stelle, Amt,  Station,  Zustand	1829.0	Latin	True
allűr	Gang, Haltung,  Manier	1879.0	German	True
alma	Apfelbaum,  Apfel,  〈als Ausdruck der Verneinung〉,  Apfelgarten,  mit Apfelmotiven versehen 〈zB weißes Pferd〉,  faul 〈im Arg〉 	1009.0	Turkic	True
almanach ∆	Kalender,  Taschenbuch,  Jahrbuch	1613.0	Wanderwort	True
almárium ×	Schrank, Kiste	1517.0	Latin	True
álmél †	erschrecken,  erstaunen	1456.0		False
álnok	falsch, schlau,  Verbrecher,	1247.0	derived word	False
aló ∆	nur zu, los	1749.0	loan	True
áloé	Aloe,  Art Abführmittel	1416.0	Latin	True
alom	Unterstreu	1531.0	Proto-Ugric	False
álom	Traum,  Schlaf,  Einschlafen 	1091.0	Proto-Finno-Ugric	False
alómars	pack dich!	1774.0	loan	True
álomszuszék	Langschläfer 	1723.0	compound	False
álorca ∆	Maske,  Gespenst,  Vorwand, Verstellung	1520.0		False
alpári	gemein 	1790.0	derived word	False
alsó	niderer liegend 〈Gebiet〉,  unterer,  in südlicher Richtung liegend,  niederer, Nieder-,  tief 〈Ton〉,  Unter 〈im Kartenspeil〉,  Unterwäsche,  Art Kartenspeil, Klabrias,  Schüler einer niederen Klasse 	1260.0	derived word	False
alszik	schlafen,  ist gestorben,  erlöschen,  gerinnen,  einschläfern,  unauslöschlich 	1265.0		False
alt	Altstimme,  Alt-	1802.0	German	True
által	über, durch,  gerade, kurz,  durch,  von, vermittelst,  absolut,  allgemein,  das absolute Ding 	1258.0		False
általvető	Quersack	1672.0	derived word	False
alumínium	Aluminium	1879.0	international word	True
ám	sieh,  wirklich,  wohlan,  jedoch,  wohl, ja 	1462.0		False
amatőr	Kunstliebhaber,  Amateursportler,  Pfuscher 	1833.0	German	True
amazon	Amazone	1559.0	Latin	True
ámbár	obwohl,  es sei, wohlan,  wenn nur 	1540.0		False
ambíció	Ambition	1577.0		False
ámbitus ×	Hausflur	1510.0	Latin	True
ámbra	Amber	1577.0	Wanderwort	True
ambrózia	Ambrosia	1653.0	Latin	True
ámen	eine Interjektion 〈mit der die Gebete endigen〉 amen,  Amen 〈das letzte Wort eines Gebetes〉, Gebet,  Gutheißen	1527.0	Latin	True
ametiszt	Amethyst	1516.0	Wanderwort	True
amnesztia	Amnestie	1611.0	Latin	True
ámokfutó	Amokläufer	1925.0	German	True
ámolyog ×	zaudern, zögern,  träumerisch, herumirren, herumlungern,  gaffen,  taumeln	1767.0	onomatopoetic	False
ámpolna ∆	Krug, Meßkrügehen,  Hängevase, Hängelampe	1405.0	loan	True
ampulla	Krug, Meßkrügehen,  bauchige Erweiterung eines röhrenförmigen Hohlorgans,  〈zugeschmolzenes〉 Arzneifläschchen 	1685.0	Latin	True
amputáció	Amputation	1796.0		False
ámul	erschrecken,  ermatten,  staunen,  sich täuschen	1456.0		False
amulett	Amulett 	1690.0	Latin	True
analfabéta	Analphabet	1879.0		False
ananász	Ananas	1757.0	international word	True
anarchia	Anarchie 	1708.0		False
andalodik	verdummen,  sich in Gedanken vertiefen,  anstaunen,  herumstreifen, schlendern,  den Mund aufreißen	1660.0		False
ándung ×	Ahnung,  Lust, Stimmung 	1823.0	German	True
anekdota	Anekdote	1789.0	international word	True
angária ∆	Quartalzahlung, Zahlungsquartal,  Fronarbeit,  Wirrwar	1595.0		False
angin	Nankingstoff 〈haupts als Bettbezugsstoff〉	1785.0	loan	True
anglikán	anglikanisch	1684.0	international word	True
anglus ∆	englisch,  Engländer	1405.0		False
angolna	Aal 	1525.0	Latin	True
ángy ×	Schwester des Gatten,  Frau des Bruders,  Frau des älteren Verwandten	1380.0	Proto-Uralic	False
angyal	Engel, Schutzengel,  plündernder Soldat, Heidruck,  〈als Anrede an eine geliebte Person〉 Geliebte,  〈zum Ausdruck eines Fluches, als scherzhafter Aufschrei〉 	1405.0	loan	True
angyalbőr	Wehrgehenk, Schulterriemen,  Uniform,  Waffenrock	1790.0	compound	False
angyélika ∆	Minze,  Pastinak,  Engelwurz	1516.0	Latin	True
ánizs	Sternanis,  Anis	1378.0	Wanderwort	True
ankét	Untersuchung,  Konferenz 	1868.0	French	True
anorák	Anorak	1941.0	international word	True
ánslóg ×	Schwefelstange zum Schwefeln von Weinfässern	1697.0	loan	True
antal †	dumm, töricht	1552.0	derived word	False
antenna¹ †	Mastbaum	1620.0	Italian	True
antenna²	Fühler,  Antenne	1893.0	international word	True
antik	alt 〈Kunstwerk〉,  antik	1793.0	international word	True
antikvárius	Altbuchhändler,  in der Sprach- und Literaturgeschichte bewanderte Person,  Antiquitätensammler, Altkunsthändler,  Historiker, Archäologe,  Kunsthistoriker,  mit Antiquitäten Handel treibend	1752.0		False
antilop	Antilope,  Spaltleder 〈im Schuhhandel〉 	1837.0	international word	True
antipátia	Antipathie	1589.0		False
anya	Mutter,  Vorgesetzte, Leiterin,  Ursprung,  Stamm-mutter,  Muttertier,  Mütterchen	1181.0	Proto-Uralic	False
anyag	Materie, Urstoff,  Zeug, Tuch, Stoff	1789.0	Latin	True
anyakönyv	Matrikel	1806.0	compound	False
anyanyelv	Muttersprache,	1776.0	German	True
anyarozs ×	Mutterkorn 	1790.0	German	True
anyaszentegyház	die christliche Kirche,  Kirchengemeinde 	1470.0	compound	False
annyi	soviel	1372.0	derived word	False
anyós	bejahrtes Weib, Mütterchen, alte Mutter,  Schwiegermutter	1608.0	derived word	False
apa	Vater,  bejahrter Mann,  Zunftmeister,  Schwiegervater,  geistiger Urheber,  allverehrter Mann,  Ahn,  bejahrter Mann, Väterchen,  Väterchen,  Väterchen,  Väterchen	1055.0	Proto-Finno-Ugric	False
apáca	Nonne,  noch nicht zugelassenes junges Schaf 	1256.0	uncertain	False
apacs ∆	Gauner, Apache	1909.0	international word	True
apad	versiegen, an Substanz verlieren 	1131.0		False
apaszt	vermindern 〈Feuchtigkeitsgehalt, Menge〉 vermindern	1399.0		False
apanázs ∆	Apanage	1793.0	international word	True
apát	Abt	1180.0	uncertain	False
apellál	appellieren,  viel sprechen, leeres Geschwätz machen	1559.0		False
áperte ×	offenbar, offen,  ohne Umschweife, klipp und klar,	1617.0	Latin	True
apetitus ×	Appetit	1593.0	Latin	True
ápol	küssen,  liebkosen,  pflegen,  Kuß,  Geküsse 	1372.0	derived word	False
áporodik	stinkend, schal werden,  entkräftet, mißmutig werden,  nachsinnend vor sich starren,  stinkend 	1588.0	uncertain	False
após	bejahrter Mann, Väterchen,  Schwiegervater,  Großvater,  Vater	1608.0	derived word	False
apostol	Jünger Jesu,  eifriger Verkünder einer Sache, einer Lehre,	1217.0	Latin	True
apparátus	Ausstattung, Einrichtung,  vorbereitung,  Mittel, Zeug,  Institution, Organisation,  Gerät, Vorrichtung	1600.0	Latin	True
aprehendál ∆	erwerben, bekommen,  fordern,  verübeln,  tadeln, grollen,  bemäkeln	1572.0	Latin	True
április	April	1416.0	Latin	True
apró	winzig,  gering,  schmal,  Kind,  Pocken,  Häufel,  Kleingeld,  Kleinigkeit,  Kind,  Kleinigkeit,  Schlachtabfälle, -klein	1268.0	uncertain	False
apró-cseprő	Habseligkeit und Sippschaft,  Kleinkram,  klimperklein 	1598.0	compound	False
apród	klein,  Kind,  Lehrling,  Schildknappe, Page,  Kurmacher,  kleinweise	1300.0	derived word	False
apropó	apropos,  Gelegenheit	1706.0	international word	True
ár¹  ∆	strömen, schwellen 	1193.0		False
ár²	Ahle	1395.0	Proto-Finno-Ugric	False
ár³	Ar 〈Flächenmaß〉 	1836.0		False
ara ∆	Bruder,  Schwiegertochter,  Braut	1479.0	derived word	False
arab	Araber,  arabisch	1571.0	Latin	True
áramlik	strömen	1820.0		False
aranka	Kleeseide, Hopfenseide usw. 	1768.0	derived word	False
arany	Gold,  Geld, Schatz,  Goldmünze,  Goldmaß 	1075.0	Proto-Ugric	False
aranyér	Hämorrhoiden	1742.0	compound	False
arányoz ∆	meinen, vermuten,  in einer Richtung gehen,  zielen,  proportional verteilen	1527.0		False
arasz	Spanne,  die hohle Hand	1405.0	Proto-Finno-Ugric	False
arat	ernten, aratnivaló	1211.0	uncertain	False
árbóc	Mast,  Nadelbaum,  stange 	1470.0		False
archaizmus	Archaismus	1806.0		False
archívum	Archiv	1688.0	Latin	True
ardó †	Waldhüter	1248.0	compound	False
aréna	Nieren-, Gallensteinkrankheit,  Sommertheater, Schauspielhaus,  Zirkus, Kampfplatz,  Stätte, Schauplatz,  Radau machen 	1550.0	Latin	True
árendál ×	pachten	1556.0		False
árestál ∆	pfänden, sperren,  anhalten, verhaften	1579.0		False
árfolyam	Kurs 〈Preis〉 	1832.0	compound	False
argó	Gaunersprache,  Gruppensprache 	1904.0	French	True
argumentum	Argument 	1569.0		False
árgusszem	scharfes, mißtrauisches Auge	1786.0	compound	False
árguvál ×	disputieren, beweisen,  anklagen,  flehen, zudringlich bitten,  herumstehen,  feilschen	1527.0	Latin	True
