ID	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	MEANING	SENSE	SENSE_ID
179	2223	BE ANGRY	prüszköl	  sich ärgern; niesen;   schnauben 〈Pferd〉;   sich vor etwas scheuen;   pusten 〈Maschine;  bes. Lokomotiv〉	  sich ärgern	sichargern-2
184	1533	BE HUNGRY	éh	hungrig;   Hunger;   Hungernder;   hungrig werden	hungrig	hungrig-1
187	1820	BEAR	mackó²	Bär;   Kassenschrank;   Overall;  Trainingsanzug	Bär	Bar-1
188	1820	BEAR	medve	Bär;   Ofensau;   Getreidehaufen;  der beim Drusch auf der Tenne vom Regen naß geworden ist;   mürrischer Mensch	Bär	Bar-2
191	678	BEARD	szakáll	 Wamme; Bart;   Bart;   〈zur Benennung versch Pflanzen〉;   Moos;   Fleischlappen am Hühnerschnabel;   aus dem Stiel od Heft herausstehender Werkzeugteil;   Wildling der Wurzel;   Schweif des Kometen;  Fadenschopf 〈bei Pflanzen〉;   Tabakschmutz an der Meerschaumpfeife;   Wallbüchse 〈Art Kanone〉	Bart	Bart-2
199	1427	BEAUTIFUL	ragyiva ×	  betriebsam; hübsch;  schön;   gebildet;  verfeinert;  erfinderisch	 schön	schon-8
200	1427	BEAUTIFUL	szép	schön;   schön;  groß;   richtig;   Schönheit;  das Beste;  nützlich;  bedeutend;   beträchtlich;  schicklich;   günstig;   das Schönste;   die Schöne	schön	schon-9
214	2918	BECAUSE OF	tőle	  durch;   von;  von;   von;  aus;   wegen; von 〈haupts bei passiven Verben〉;   als er 〈vergleichend〉;   seitens;   mit ihm;   rechts! 〈als Treibew〉;   von jmdm aus	  wegen	wegen-12
216	2918	BECAUSE OF	végett	wegen;  zwecks;   infolge;   endlich;  halber;   meinethalber;  deinethalber usw;   meinetwillen;  deinetwillen usw	wegen	wegen-14
221	1990	BECOME	lesz	 existieren;  entstehen;   geschehen; sein;   zu etw werden;  werden;   〈Ersatzverb für versch Formen des Verbs → van¹〉;   geboren werden	 werden	werden-5
226	2327	BECOME SICK	romlik	  zugrunde gehen;   erkranken;  -sinken;  sinken;   faulen;  einstürzen;  verschleißen;  dahinschwinden;   abmagern; verfallen;  zusammenbrechen;  modern;  vergehen;  sich abnützen;  verkommen;   Untergang;   sittlich verderben 〈intrans〉;  niedergehen 〈in bezug auf Ansehen;  Macht usw〉;   brechen;  bröckeln 〈intrans〉;   ungünstiger werden;  sich verschlechtern;   an Wert einbüßen;  den Wert verlieren;   sich mühsam herein-;  hinein- bzw heraus-;  hinausschleppen;  Verderben	  erkranken	erkranken-4
229	1663	BED	ágy	Flußbett; Flußbett;   Bett;   Bett;  Lagerstätte;   Lafette;   Lafette;   Essiglager;   Essiglager;  Bodensatz;  Bodensatz;   Beet;   Beet;   〈als Symbol der Familie〉;   〈als Symbol der Familie〉;   Streu;   Streu;   Bettzeug;   Bettzeug;   auf der Tenne ausgebreitetes Getreide bzw. aisgebreitete Garben;   Konkubine ;   Konkubine ;   ausgebreitetes Getreide;  ausgebreitete Garben 〈auf der Tenne〉	  Bett	Bett-1
233	1663	BED	nyoszolya ×	  Bett;  Totenbahre; Tragbahre;  Liege;   Gleitschragen	  Bett	Bett-5
234	1882	BEFORE	elöl	  vorwärts; vorn;  vor 〈als VPräf〉;   zuvor;  früher;   von vorne	  zuvor	zuvor-1
236	1806	BEGIN	indít	bewegen;  anregen;   verursachen;  antreiben;   in Bewegung setzen;  rücken;   anreizen;   abgehen lassen;   empören;   rühren;   anfangen	  anfangen	anfangen-1
238	1806	BEGIN	nyit	öffnen;   beginnen;  anfangen;   blühen 〈Blume〉;    bieten;   Aufmachen 〈im Wienbau〉	 anfangen	anfangen-3
240	1890	BELIEVE	hisz¹	  meinen;  denken;   vertrauen;   sich überheben; glauben;   an jmdn glauben;   Gläubige;   Irreführung;   in der Meinung	glauben	glauben-1
242	1251	BELLY	bendő	  Magen;   Magen; Bauch; Bauch;   Wamme;   Wamme;  Pansen;  Pansen;   Rinblase;   Rinblase;   Art Behälter;   Art Behälter;  bauchiger Krug;  bauchiger Krug;   Kuttel;   Kuttel;   wulstige Wurzel;   wulstige Wurzel	Bauch	Bauch-1
245	1251	BELLY	has	 schwanger; Bauch;  Vorderteil des Rumpfes;   Gebärmutter;  Unterleib der Schwangeren;   Bauch des Kruges;   bauchig;   tragend;   Blutfluß haben;   auf dem Bauch liegen;    erfinden;  faseln;   Ruhr;   aufs Geratewohl 〈sagen〉	Bauch	Bauch-4
251	772	BELT	gurtni	Gurt;   Gürtel	  Gürtel	Gurtel-1
253	772	BELT	öv	  umgeben;  Streifen;  Gürtel;   Gürtel; Leibgurt;  Gürtel für andere Körperteile;   Taille;  Zone;  Zone;  Höhenzone 〈Geogr〉;   Erdgürtel;   Grabungsschicht;   gürten;   Gürgung;   Zone 〈um etw herum〉	 Gürtel	Gurtel-3
257	2224	BEND (SOMETHING)	hajt¹	 sich um etw. kümmern;   unterwerfen; biegen;  bogenförmig umbiegen;   ausleeren;   〈Weg〉 führen;   jemandem gewogen sein;   etw einreichnen;   falten;  zusammenfalten;   zuhören;   zuhören;  willfahren;  willfahren;  beachten;   wiederholen;   Deklination	biegen	biegen-1
267	904	BERRY	bogyó	Beere;   Knoten;   dürre Frucht;   unreifer Apfel	Beere	Beere-4
268	904	BERRY	szem	  Ansicht;   unverschämt;   Beere;   Glied;  frech;  Rücksicht;   besehen;   Korn;   Blick;   Punkt;   Masche;   auslesen; Auge;  Beurteilung;   ein Körnchen 〈als Maß〉;   augenförmige Verzierung;  Werteinheit 〈auf Spielkarten;  Würfeln usw〉;   Körner hervorbringen;   Körner hervorbringen;   augenlos;  besichtigen;  sortieren;   großäugig;   mit jmdm äugeln;  kokettieren;   Auswahl	  Beere	Beere-5
269	689	BETWEEN	közepett ∆	 euch;   während;  unter 〈mit Akk〉;   in der Mitte; inmitten von;  unter 〈mit Dat〉;   zwischen;  in die Mitte von;  im Laufe ...;   in der Mitte von;   unter uns;  ihnen	  zwischen	zwischen-1
273	1202	BIG	nagy	  großtun;  steigern;  Tat〉;   sehr;  Menge;   hochgradig; groß;   sehr groß;  Gewalt;   rasch;  eher;   erhöhen;   älter;  von großem Ausmaß;   Größe;  große Menge;   Euer Gnaden;   von großem Belang 〈Ding;  eine wichtige Rolle spielend;  hervorragend 〈Person〉;   gewaltig;  hochgestellt;   Hauptperson;  führende Persönlichkeit;   Reichtum;  Vorzüglichkeit;   Erwachsener;  älteres Kind;   erhöhtes Maß;   alss ehrender Titel;   hochspreisen;   ansteigen;  wachsen;   hochpreisen;   vergrößen;   vergrößern;  vergrößern;  vermehren;   hudeln;  zusammenhauen;   Großschätzen;  Großbefinden;   Großtun;   für groß halten;  übertreiben;   vielmehr;   größtens;   Groß;   im großen und ganzen	groß	gro-4
276	1202	BIG	tetemes	 dick;  Sünde〉;  groß;   bedeutend;  sperrig;   wohlbeleibt; knochig;  grobbeinig;   beinern;  mit Bein geschmückt;   augenfällig 〈Lüge;  erheblich;   schwer schuldig	 groß	gro-7
280	1855	BIRCH	nyír²	 Rute;   sumpfig;   Sumpf;   Sproß; Birkenwald;   Birkenwald;   Birke;  feuchtes Grasland;   unterer Teil des Schilfrohrstengels;  morastig	  Birke	Birke-1
281	937	BIRD	madár	Vogel;   loser Vogel;   Spatz	Vogel	Vogel-1
285	1403	BITE	harap¹	beißen;   öfters beißen 	beißen	beien-3
286	1403	BITE	mar¹	 verletzen;  reißen;  reiben;   beißen; zerreißen;  auffressen;   zerkrümeln;   mit Schimpf und Verleumdungen bekämpfen;  mit jmdm in ewigem Zank liegen;   ätzen;   fräsen;   Raubvogel;   Fräse;   Fräser	  beißen	beien-4
287	887	BITTER	keserű	 peinlich;  Bitternis; bitter;   bitter;   qualvoll;   lästig;   erbittert;  enttäuscht;   Betrübnis;   Magenbitter 〈Getränk〉	bitter	bitter-1
289	887	BITTER	keserves	  wertlos;  geringwertig;   kläglich;   bitter; traurig;  erbittert 〈Person〉;   schmerzlich;  sauer;  bitterlich;   sauer erworben;   〈als Schimpfw in mildem Fluch〉;   Klageweib;   trauriges Musikstück	  bitter	bitter-3
291	163	BLACK	fekete	schwarz;  dunkel;   das Schwarze;  der schwarze Teil irgendeiner Sache 〈des Auges;  unter den Nägeln usw〉;   Neger;   schwarzes Kleid;   Mokka;   Rappe;   Mokka trinken;   Schwarzhandel treiben;   verbotenerweise	schwarz	schwarz-1
303	806	BLANKET	pokróc	 Decke;   grober Mensch	 Decke	Decke-10
309	1653	BLIND	vak	  blind;   dunkel; Blinde;   die den niedrigsten Wert zeigende Seite eines Spielwürfels;   ungewiß	  blind	blind-2
313	946	BLOOD	vér	  Rot-; Blut;   sanguinisch;  Blutsverwandte;   Abstammung;   Dysenterie;   Blutwurst;   Speise aus tierischem Blut;   mit Blut bereitet 〈Speise〉	Blut	Blut-3
316	176	BLOW (WITH MOUTH)	fúj	 singen;   wiederholt sagen;  schnauben;   vor Wut schnauben; blasen;  blasen;   blasen;   wehen 〈Wind〉;   〈ein Instrument bzw auf einem Instrument〉 blasen;   durch bewegte Luft bearbeiten;   schnaufen;  fauchen;   sich schneuzen;  immer  sagen;  fließend;  ununterbrochen sagen;  jmdn auf dem Zug haben;   Gebläse;   Gebläse;  Schlauch;   wind;  fújván;  fújás közben	blasen	blasen-1
319	176	BLOW (WITH MOUTH)	ihel ×	  Inspiration;   blasen;  hauchen; einflüstern;  inspirieren;  atmen	  blasen	blasen-4
320	837	BLUE	kék	  Wunde;  Ochse〉; blau;   grün;   grau 〈Pferd;   blauer Lattich;   Waschblau	blau	blau-1
321	379	BLUNT	buta	  dumm;   derb; abwärts gebogen;   stumpf;   stumpf;   schwer;  dicht;   blind;  unberechenbar;   Dummerl	  stumpf	stumpf-1
325	379	BLUNT	tompa	  stumpfsinnig;   stumpf;  matt;   gleichgültig; dumpf;  klanglos 〈Stimme〉;   stumpf 〈nicht scharf;  nicht gespitzt〉;   dumpf 〈Schmerz〉	  stumpf	stumpf-5
328	1227	BOARD	deszka	Brett	Brett	Brett-1
329	1227	BOARD	palánk	 Bretterzaun;   Brett; Palisaden;   Festung mit Palisaden;   Schiffsplanke	  Brett	Brett-2
332	101	BOAST	henceg	prahlen;   mutwillig;  ausgelassen herumspringen	prahlen	prahlen-3
333	101	BOAST	hetvenkedik	anfeinden;   prahlen;  herumspringen;  beschimpfen;   sich brüsten;   sich herumwerfen	  prahlen	prahlen-4
338	1844	BOAT	csónak	 Kahn; Boot;   Weberschiffchen;   das unterste Blütenblatt der Schmetterlingsblüte;   Elbkahn 〈Schuh〉	 Kahn	Kahn-2
339	1844	BOAT	hajó	  Luftschiff;   Kahn; Schiff;   Schiff 〈in der Kirche〉;  hajózható;  hajóval kapcsolatos;  arra vonatkozó	  Kahn	Kahn-3
348	792	BOIL (OF LIQUID)	forr	 wallen;   gären; entspringen;   Quelle;  hervorquellen;   sieden;   wimmeln;  sich drängen;   in Gärung sein 〈abstr〉;   vernarben;  verwachsen;   einem 〈in der Kehle〉 steckenbleiben 〈heute nur absrt〉	  sieden	sieden-1
349	792	BOIL (OF LIQUID)	fő¹	 Gekoch;  sieden; gekocht od gar werden 〈Lebensmittel;  etw Festes〉;  kochen 〈Flüssigkeit〉;   der Kopf brummt einem;  Sorgen haben;   Kochen;   Gekocht;   Gekochtes;  Kochgut	 sieden	sieden-2
358	2860	BOLT (MOVE IN HASTE)	siet	eilen;   eilen;   streben;   bald;  Schnelle;  Schnelle;   sich eilen;   Eile haben;  keine Bleibe haben;  bereit sein;   vorgehen 〈Uhr〉;   Eile;   Eile	eilen	eilen-6
362	2860	BOLT (MOVE IN HASTE)	trappol	 laufen;  eilen; traben	 eilen	eilen-10
363	1394	BONE	csont	  Mensch; Knochen;  Bein;  Kerl 〈scherzhaft〉	Knochen	Knochen-1
366	585	BOOT	bagaria	Juchten;   Riemen;   Stiefel;   unverschämt;  schamlos	  Stiefel	Stiefel-1
368	2546	BORDER	gránic ×	Grenze;  Grenzgebiet	Grenze	Grenze-2
369	2546	BORDER	határ	  Haufen; Grenze;  Grenze;   beschließen;   definieren;  Beschluß;   begrenzen;   zählen;  Landesgrenze;   gesetzte Bestimmung;   Gemarkung;   bestimmen;  gelten;  határos;   Horizont;   Horizont;   Adjektiv;   Adverb;  határ nélküli;   Entschluß;   Bescheid;   grenzenlos 〈auch abstr〉	Grenze	Grenze-3
374	2930	BOSS	főnök	Führer;  Häuptling;   Chef;  Leiter	  Chef	Chef-1
387	2869	BOTHER (HARASS)	nyaggat	  belästigen; plagen;  martern;  drängen;   〈Mitzuteilendes〉 bis zur Langeweile wiederholen;  〈ein Musikstück〉 kunstlos spielen	  belästigen	belastigen-11
393	2869	BOTHER (HARASS)	zaklat	belästigen	belästigen	belastigen-17
394	994	BOW	bolt²	  Bogen; Gewölbe;   Laden;  Geschäft;   Räumlichkeit mit gewölbter Decke;  Kammer;  Keller;  Regenbogen;   gewölbt;   Kaufmann	  Bogen	Bogen-2
397	1465	BOX	láda	Kiste;   Kiste;   Truhe;  Behälter eines Fahrzeuges od der Wagenkasten selbst	Kiste	Kiste-3
400	1465	BOX	szekrény	  Schrank;  Schrein;   Sarg; Lade;   Kasten;   Kasten als Teil des Wagens;   Patronenkammer 〈beim Gewehr〉;   Leierkasten	  Kasten	Kasten-1
405	1366	BOY	fiú	 Fach;  Zelle;   Knabe;   Geringfügigkeit;  Bursche;   das Junge eines Tieres; Sohn;   Nachkomme;   aus einer Gegend;  Stadt usw gebürtige Person;   〈als Anrede unabhängig vom Geschlecht des Angeredeten〉;   Schublade;   Söhnchen;   brüten;   präfizieren;  fiadzik	  Knabe	Knabe-5
411	1366	BOY	kölyök	Junge;  Welpe;   Bengel;  Grünschnabel	Junge	Junge-3
414	1583	BRAIN	agy	Schädel; Schädel;  Kopf;  Kopf;   Nabe;   Nabe;   Gewehrkolben;   Gewehrkolben;   Halfter;   Halfter;   Gehirn;   Gehirn;  Vernunft;  Vernunft;   verprügeln;   verprügeln;   ausklügeln;   ausklügeln;  ersinnen;  ersinnen	  Gehirn	Gehirn-1
418	1531	BRANCH	ág	Flußarm;   Ast;   Sippe;  Parentel;   herausragender Teil von etw;  Arm;   Teil einer Begriffsklasse;   abzweigen 	  Ast	Ast-1
421	2902	BRAWL (FIGHT)	vív	 zanken;   Kampf;   lärmen;   grübeln;  Unruhe〉;  Leid; kämpfen;   kämpfen;   Fechter;   entartet;   Belagerung;  belagern;   seelisch kämpfen;   fechten;   peinigen 〈Sorge;   sich prügeln;   Fechten;   kampflos;  zwistig	  sich prügeln	sichprugeln-1
422	1368	BREAD	kenyér	  Fach;   Kumpan;   bestechen; Brot;   zum Lebensunterhalt nötige Nahrung;  die zum Unterhalt erforderlichen Mittel;  Gewohnheit 〈in Redewendungen wie: das ist nicht mein Fach;  das ist nicht meine Gewohnheit〉;   Brot essen	Brot	Brot-1
425	2558	BREAK (CLEAVE)	roncsol	reißen;   quälen;  stopfen;   zerfressen;   pressen;  zerknittern;  zerfleischen;  bröckeln;  zerquetschen;   zerbrechen;  krümeln;  zerrütten	  zerbrechen	zerbrechen-2
427	680	BREAK (DESTROY OR GET DESTROYED)	romlik	  zugrunde gehen;   erkranken;  -sinken;  sinken;   faulen;  einstürzen;  verschleißen;  dahinschwinden;   abmagern; verfallen;  zusammenbrechen;  modern;  vergehen;  sich abnützen;  verkommen;   Untergang;   sittlich verderben 〈intrans〉;  niedergehen 〈in bezug auf Ansehen;  Macht usw〉;   brechen;  bröckeln 〈intrans〉;   ungünstiger werden;  sich verschlechtern;   an Wert einbüßen;  den Wert verlieren;   sich mühsam herein-;  hinein- bzw heraus-;  hinausschleppen;  Verderben	  brechen	brechen-1
436	460	BREAK (OF ROPE)	tép	 zugrunde richten;  zausen;  reißen;   rupfen;   zupfen;   plagen;  martern; raufen;   abschneiden;  pflücken;   besiegen;   in Stücke reißen	 reißen	reien-7
440	1402	BREAST	csecs	  Euter; weibliche Brust;  Zitze;   Schnabel;  Warze eines Kruges;   eine Frau betasten	weibliche Brust	weiblicheBrust-4
442	1402	BREAST	mell	  weibliche Brust;   reißen;   Vorderteil;   Herz;   Brustharnisch;  zerfleischen; Brust	  weibliche Brust	weiblicheBrust-6
