Grapheme	IPA
balgatag	b ɒ l ɡ ɒ t ɒ ɡ
balhé	b ɒ l h eː
ballon	b ɒ lː o n
bálvány	b aː l v aː ɲ
bamba	b ɒ m b ɒ
bán	b aː n
banán	b ɒ n aː n
bánik	b aː n i k
bánt	b aː n t
banya	b ɒ ɲ ɒ
bánya	b aː ɲ ɒ
baraboly	b ɒ r ɒ b o j
barack	b ɒ r ɒ t͡s k
barát	b ɒ r aː t
barázdabillegető	b ɒ r aː z d ɒ b i lː ɛ ɡ ɛ t øː
barbár	b ɒ r b aː r
bárca	b aː r t͡s ɒ
bárka	b aː r k ɒ
barkó	b ɒ r k oː
barlang	b ɒ r l ɒ n ɡ
barna	b ɒ r n ɒ
barom	b ɒ r o m
baszik	b ɒ s i k
bátor	b aː t o r
bátya	b aː c ɒ
batyu	b ɒ c u
bazár	b ɒ z aː r
bazsalyog	b ɒ ʒ ɒ j o ɡ
be	b ɛ
becő	b ɛ t͡s øː
becs	b ɛ t͡ʃ
begy	b ɛ ɟ
béka	b eː k ɒ
béke	b eː k ɛ
bél	b eː l
belső	b ɛ l ʃ øː
belül	b ɛ l y l
bélyeg	b eː j ɛ ɡ
béna	b eː n ɒ
bendő	b ɛ n d øː
bér	b eː r
berbécs	b ɛ r b eː t͡ʃ
berce	b ɛ r t͡s ɛ
berek	b ɛ r ɛ k
berhe	b ɛ r h ɛ
bérmál	b eː r m aː l
berzenkedik	b ɛ r z ɛ n k ɛ d i k
bese	b ɛ ʃ ɛ
beste	b ɛ ʃ t ɛ
bestia	b ɛ ʃ t i ɒ
beszéd	b ɛ s eː d
beteg	b ɛ t ɛ ɡ
betű	b ɛ t yː
betyár	b ɛ c aː r
bezzeg	b ɛ zː ɛ ɡ
bibasz	b i b ɒ s
biber	b i b ɛ r
bíbor	b iː b o r
biccent	b i t͡sː ɛ n t
bicikli	b i t͡s i k l i
bicsaklik	b i t͡ʃ ɒ k l i k
bicska	b i t͡ʃ k ɒ
biggyeszt	b i ɟː ɛ s t
bigyó	b i ɟ oː
bika	b i k ɒ
bikfic	b i k f i t͡s
billeg	b i lː ɛ ɡ
billikom	b i lː i k o m
bimbó	b i m b oː
bincsók	b i n t͡ʃ oː k
bír	b iː r
bíró	b iː r oː
bitang	b i t ɒ n ɡ
bivaly	b i v ɒ j
bizgat	b i z ɡ ɒ t
bizony	b i z o ɲ
biztos	b i z t o ʃ
bizserél	b i ʒ ɛ r eː l
blatt	b l ɒ tː
blúz	b l uː z
boci	b o t͡s i
bocsát	b o t͡ʃ aː t
bóda	b oː d ɒ
bódít	b oː d iː t
bodobács	b o d o b aː t͡ʃ
bodócs	b o d oː t͡ʃ
bódorog	b oː d o r o ɡ
bog	b o ɡ
bogár	b o ɡ aː r
boglár	b o ɡ l aː r
bogyó	b o ɟ oː
bojt	b o j t
boka	b o k ɒ
bokály	b o k aː j
bokor	b o k o r
boldog	b o l d o ɡ
bolha	b o l h ɒ
bolt	b o l t
boly	b o j
bomba	b o m b ɒ
bont	b o n t
bonta	b o n t ɒ
borít	b o r iː t
borul	b o r u l
borjú	b o r j uː
borona	b o r o n ɒ
borosta	b o r o ʃ t ɒ
bors	b o r ʃ
borsó	b o r ʃ oː
borz	b o r z
boszorkány	b o s o r k aː ɲ
bosszant	b o sː ɒ n t
bosztán	b o s t aː n
bot	b o t
botor	b o t o r
botos	b o t o ʃ
bő	b øː
bőg	b øː ɡ
böjt	b ø j t
bök	b ø k
bökken	b ø kː ɛ n
bölcs	b ø l t͡ʃ
bölcső	b ø l t͡ʃ øː
bölény	b ø l eː ɲ
bömböl	b ø m b ø l
bőr	b øː r
bőregér	b øː r ɛ ɡ eː r
bőrönd	b øː r ø n d
bringa	b r i n ɡ ɒ
búb	b uː b
buba	b u b ɒ
bubolyicska	b u b o j i t͡ʃ k ɒ
buckó	b u t͡s k oː
buda	b u d ɒ
isbufa	i ʃ b u f ɒ
búg	b uː ɡ
buga	b u ɡ ɒ
buger	b u ɡ ɛ r
bugris	b u ɡ r i ʃ
bugyog	b u ɟ o ɡ
bugyolál	b u ɟ o l aː l
bugyor	b u ɟ o r
buja	b u j ɒ
bújik	b uː j i k
bujt	b u j t
bukik	b u k i k
buksi	b u k ʃ i
buli	b u l i
bulya	b u j ɒ
bumfordi	b u m f o r d i
bunda	b u n d ɒ
bunkó	b u n k oː
burgonya	b u r ɡ o ɲ ɒ
burkus	b u r k u ʃ
burok	b u r o k
busa	b u ʃ ɒ
busás	b u ʃ aː ʃ
buta	b u t ɒ
butélia	b u t eː l i ɒ
butik	b u t i k
bútor	b uː t o r
butykó	b u c k oː
bűbáj	b yː b aː j
büdös	b y d ø ʃ
büdöske	b y d ø ʃ k ɛ
bűn	b yː n
büszke	b y s k ɛ
bütü	b y t y
bütyök	b y c ø k
bűvész	b yː v eː s
bűz	b yː z
csiga	t͡ʃ i ɡ ɒ
cafat	t͡s ɒ f ɒ t
cafka	t͡s ɒ f k ɒ
cafra	t͡s ɒ f r ɒ
cafrang	t͡s ɒ f r ɒ n ɡ
cakó	t͡s ɒ k oː
cakompakk	t͡s ɒ k o m p ɒ kː
canga	t͡s ɒ n ɡ ɒ
cankó	t͡s ɒ n k oː
cápa	t͡s aː p ɒ
cavira	t͡s ɒ v i r ɒ
céda	t͡s eː d ɒ
cefet	t͡s ɛ f ɛ t
cefre	t͡s ɛ f r ɛ
cégér	t͡s eː ɡ eː r
cékla	t͡s eː k l ɒ
cél	t͡s eː l
cella	t͡s ɛ lː ɒ
cemende	t͡s ɛ m ɛ n d ɛ
cement	t͡s ɛ m ɛ n t
cenk	t͡s ɛ n k
centrum	t͡s ɛ n t r u m
cenzúra	t͡s ɛ n z uː r ɒ
cerkó	t͡s ɛ r k oː
cérna	t͡s eː r n ɒ
ceruza	t͡s ɛ r u z ɒ
cet	t͡s ɛ t
cibak	t͡s i b ɒ k
cibere	t͡s i b ɛ r ɛ
cibóka	t͡s i b oː k ɒ
cica	t͡s i t͡s ɒ
cici	t͡s i t͡s i
cidri	t͡s i d r i
cifra	t͡s i f r ɒ
cigány	t͡s i ɡ aː ɲ
cihődik	t͡s i h øː d i k
cihelődik	t͡s i h ɛ l øː d i k
cika	t͡s i k ɒ
ciki	t͡s i k i
cikkely	t͡s i kː ɛ j
ciklus	t͡s i k l u ʃ
cilinder	t͡s i l i n d ɛ r
cimbora	t͡s i m b o r ɒ
címer	t͡s iː m ɛ r
cimpa	t͡s i m p ɒ
cin	t͡s i n
cincár	t͡s i n t͡s aː r
cingár	t͡s i n ɡ aː r
cipellős	t͡s i p ɛ lː øː ʃ
cipó	t͡s i p oː
cipő	t͡s i p øː
cirkál	t͡s i r k aː l
cirkalom	t͡s i r k ɒ l o m
citrom	t͡s i t r o m
condra	t͡s o n d r ɒ
cubák	t͡s u b aː k
cúca	t͡s uː t͡s ɒ
cudar	t͡s u d ɒ r
cúg	t͡s uː ɡ
cukor	t͡s u k o r
cula	t͡s u l ɒ
curukk	t͡s u r u kː
csá	t͡ʃ aː
csacsi	t͡ʃ ɒ t͡ʃ i
csacsog	t͡ʃ ɒ t͡ʃ o ɡ
csaj	t͡ʃ ɒ j
csája	t͡ʃ aː j ɒ
csajbók	t͡ʃ ɒ j b oː k
csajka	t͡ʃ ɒ j k ɒ
csak	t͡ʃ ɒ k
csák	t͡ʃ aː k
csakliz	t͡ʃ ɒ k l i z
csáklya	t͡ʃ aː k j ɒ
csal	t͡ʃ ɒ l
család	t͡ʃ ɒ l aː d
csalafinta	t͡ʃ ɒ l ɒ f i n t ɒ
csalfa	t͡ʃ ɒ l f ɒ
csalit	t͡ʃ ɒ l i t
csalogány	t͡ʃ ɒ l o ɡ aː ɲ
csámpás	t͡ʃ aː m p aː ʃ
csanak	t͡ʃ ɒ n ɒ k
csánk	t͡ʃ aː n k
csap	t͡ʃ ɒ p
iscsap	i ʃ t͡ʃ ɒ p
csapat	t͡ʃ ɒ p ɒ t
csápol	t͡ʃ aː p o l
csapong	t͡ʃ ɒ p o n ɡ
csappant	t͡ʃ ɒ pː ɒ n t
csapszék	t͡ʃ ɒ p s eː k
csárda	t͡ʃ aː r d ɒ
csárma	t͡ʃ aː r m ɒ
csárog	t͡ʃ aː r o ɡ
császár	t͡ʃ aː s aː r
csat	t͡ʃ ɒ t
csata	t͡ʃ ɒ t ɒ
csatakos	t͡ʃ ɒ t ɒ k o ʃ
csatara	t͡ʃ ɒ t ɒ r ɒ
csattan	t͡ʃ ɒ tː ɒ n
csavar	t͡ʃ ɒ v ɒ r
csecs	t͡ʃ ɛ t͡ʃ
csécs	t͡ʃ eː t͡ʃ
csecse	t͡ʃ ɛ t͡ʃ ɛ
csecsemő	t͡ʃ ɛ t͡ʃ ɛ m øː
csekély	t͡ʃ ɛ k eː j
csekle	t͡ʃ ɛ k l ɛ
csélcsap	t͡ʃ eː l t͡ʃ ɒ p
cseléd	t͡ʃ ɛ l eː d
cselekedik	t͡ʃ ɛ l ɛ k ɛ d i k
csemege	t͡ʃ ɛ m ɛ ɡ ɛ
csemete	t͡ʃ ɛ m ɛ t ɛ
csempe	t͡ʃ ɛ m p ɛ
csempesz	t͡ʃ ɛ m p ɛ s
csen	t͡ʃ ɛ n
csencsel	t͡ʃ ɛ n t͡ʃ ɛ l
csendes	t͡ʃ ɛ n d ɛ ʃ
cseng	t͡ʃ ɛ n ɡ
csengbong	t͡ʃ ɛ n ɡ b o n ɡ
csepőte	t͡ʃ ɛ p øː t ɛ
csepp	t͡ʃ ɛ pː
cseppen	t͡ʃ ɛ pː ɛ n
cseppfolyós	t͡ʃ ɛ pː f o j oː ʃ
cser	t͡ʃ ɛ r
cserge	t͡ʃ ɛ r ɡ ɛ
cserje	t͡ʃ ɛ r j ɛ
csesz	t͡ʃ ɛ s
csetten	t͡ʃ ɛ tː ɛ n
cséve	t͡ʃ eː v ɛ
cseveg	t͡ʃ ɛ v ɛ ɡ
csiatag	t͡ʃ i ɒ t ɒ ɡ
csibe	t͡ʃ i b ɛ
csicsás	t͡ʃ i t͡ʃ aː ʃ
csicsóka	t͡ʃ i t͡ʃ oː k ɒ
csigabiga	t͡ʃ i ɡ ɒ b i ɡ ɒ
csihad	t͡ʃ i h ɒ d
csík	t͡ʃ iː k
csikar	t͡ʃ i k ɒ r
csikasz	t͡ʃ i k ɒ s
csiklik	t͡ʃ i k l i k
csikland	t͡ʃ i k l ɒ n d
csikorog	t͡ʃ i k o r o ɡ
csilingel	t͡ʃ i l i n ɡ ɛ l
csillag	t͡ʃ i lː ɒ ɡ
csille	t͡ʃ i lː ɛ
csimasz	t͡ʃ i m ɒ s
csimbók	t͡ʃ i m b oː k
csimpánz	t͡ʃ i m p aː n z
csín	t͡ʃ iː n
csinál	t͡ʃ i n aː l
csinga	t͡ʃ i n ɡ ɒ
csinnadratta	t͡ʃ i nː ɒ d r ɒ tː ɒ
csinos	t͡ʃ i n o ʃ
csíp	t͡ʃ iː p
csipisz	t͡ʃ i p i s
csipke	t͡ʃ i p k ɛ
csípő	t͡ʃ iː p øː
csira	t͡ʃ i r ɒ
csíra	t͡ʃ iː r ɒ
csiricsáré	t͡ʃ i r i t͡ʃ aː r eː
csiripel	t͡ʃ i r i p ɛ l
csiszár	t͡ʃ i s aː r
csiszol	t͡ʃ i s o l
csoda	t͡ʃ o d ɒ
csóka	t͡ʃ oː k ɒ
csókol	t͡ʃ oː k o l
csokor	t͡ʃ o k o r
csombolyék	t͡ʃ o m b o j eː k
csomó	t͡ʃ o m oː
csónak	t͡ʃ oː n ɒ k
csont	t͡ʃ o n t
csoport	t͡ʃ o p o r t
csór	t͡ʃ oː r
csorda	t͡ʃ o r d ɒ
csóró	t͡ʃ oː r oː
csosz	t͡ʃ o s
csóva	t͡ʃ oː v ɒ
csóvál	t͡ʃ oː v aː l
cső	t͡ʃ øː
csőcselék	t͡ʃ øː t͡ʃ ɛ l eː k
csögbog	t͡ʃ ø ɡ b o ɡ
csök	t͡ʃ ø k
csömbölyék	t͡ʃ ø m b ø j eː k
csőr	t͡ʃ øː r
csörög	t͡ʃ ø r ø ɡ
csúcs	t͡ʃ uː t͡ʃ
csucsorka	t͡ʃ u t͡ʃ o r k ɒ
csúf	t͡ʃ uː f
csuha	t͡ʃ u h ɒ
csuk	t͡ʃ u k
csuka	t͡ʃ u k ɒ
csukló	t͡ʃ u k l oː
csukorék	t͡ʃ u k o r eː k
csuma	t͡ʃ u m ɒ
csúnya	t͡ʃ uː ɲ ɒ
csúp	t͡ʃ uː p
csupa	t͡ʃ u p ɒ
csupasz	t͡ʃ u p ɒ s
csurdé	t͡ʃ u r d eː
csúszik	t͡ʃ uː s i k
csuta	t͡ʃ u t ɒ
csűcs	t͡ʃ yː t͡ʃ
csüd	t͡ʃ y d
csüggeszt	t͡ʃ y ɡː ɛ s t
csülök	t͡ʃ y l ø k
csüng	t͡ʃ y n ɡ
csűr	t͡ʃ yː r
csürhe	t͡ʃ y r h ɛ
csütörtök	t͡ʃ y t ø r t ø k
dádé	d aː d eː
dadog	d ɒ d o ɡ
dagad	d ɒ ɡ ɒ d
dagály	d ɒ ɡ aː j
dajna	d ɒ j n ɒ
dákó	d aː k oː
dákos	d aː k o ʃ
dal	d ɒ l
dali	d ɒ l i
dalia	d ɒ l i ɒ
dáma	d aː m ɒ
dancs	d ɒ n t͡ʃ
dandár	d ɒ n d aː r
dara	d ɒ r ɒ
darab	d ɒ r ɒ b
darabont	d ɒ r ɒ b o n t
darázs	d ɒ r aː ʒ
dárda	d aː r d ɒ
daróc	d ɒ r oː t͡s
daru	d ɒ r u
datolya	d ɒ t o j ɒ
de	d ɛ
december	d ɛ t͡s ɛ m b ɛ r
dédelget	d eː d ɛ l ɡ ɛ t
deklarál	d ɛ k l ɒ r aː l
dekorál	d ɛ k o r aː l
dél	d eː l
délceg	d eː l t͡s ɛ ɡ
delfin	d ɛ l f i n
deli	d ɛ l i
délibáb	d eː l i b aː b
delikát	d ɛ l i k aː t
delta	d ɛ l t ɒ
denevér	d ɛ n ɛ v eː r
deputál	d ɛ p u t aː l
dér	d eː r
dereglye	d ɛ r ɛ ɡ j ɛ
derék	d ɛ r eː k
destruál	d ɛ ʃ t r u aː l
deszka	d ɛ s k ɒ
dévaj	d eː v ɒ j
dévánkozik	d eː v aː n k o z i k
dezentor	d ɛ z ɛ n t o r
diadalom	d i ɒ d ɒ l o m
didereg	d i d ɛ r ɛ ɡ
díj	d iː j
diktál	d i k t aː l
dió	d i oː
direkte	d i r ɛ k t ɛ
dirigál	d i r i ɡ aː l
diskurzus	d i ʃ k u r z u ʃ
disznó	d i s n oː
dívány	d iː v aː ɲ
divat	d i v ɒ t
dob	d o b
dogma	d o ɡ m ɒ
dohány	d o h aː ɲ
dohog	d o h o ɡ
doktor	d o k t o r
dolog	d o l o ɡ
domb	d o m b
dominál	d o m i n aː l
domínium	d o m iː n i u m
dong	d o n ɡ
dorombol	d o r o m b o l
dorong	d o r o n ɡ
dózis	d oː z i ʃ
döcög	d ø t͡s ø ɡ
döf	d ø f
dög	d ø ɡ
dögönyöz	d ø ɡ ø ɲ ø z
dől	d øː l
döng	d ø n ɡ
döngöl	d ø n ɡ ø l
dönt	d ø n t
döröcköl	d ø r ø t͡s k ø l
dörög	d ø r ø ɡ
dördít	d ø r d iː t
dörömböz	d ø r ø m b ø z
dörzsöl	d ø r ʒ ø l
drága	d r aː ɡ ɒ
drágalátos	d r aː ɡ ɒ l aː t o ʃ
drasztikus	d r ɒ s t i k u ʃ
dressz	d r ɛ sː
drusza	d r u s ɒ
dúc	d uː t͡s
duci	d u t͡s i
duda	d u d ɒ
dúdol	d uː d o l
dudorog	d u d o r o ɡ
dufál	d u f aː l
dug	d u ɡ
duhaj	d u h ɒ j
dumál	d u m aː l
dundi	d u n d i
dupla	d u p l ɒ
durmol	d u r m o l
durrog	d u rː o ɡ
duruzsol	d u r u ʒ o l
durva	d u r v ɒ
dús	d uː ʃ
duska	d u ʃ k ɒ
dúz	d uː z
duzzad	d u zː ɒ d
dübög	d y b ø ɡ
dübörög	d y b ø r ø ɡ
él	eː l
emlékezik	ɛ m l eː k ɛ z i k
eb	ɛ b
ében	eː b ɛ n
ebhal	ɛ b h ɒ l
echó	ɛ h oː
ecsel	ɛ t͡ʃ ɛ l
ecset	ɛ t͡ʃ ɛ t
ed	ɛ d
edény	ɛ d eː ɲ
édes	eː d ɛ ʃ
efendi	ɛ f ɛ n d i
ég	eː ɡ
egál	ɛ ɡ aː l
isegér	i ʃ ɛ ɡ eː r
egész	ɛ ɡ eː s
egzaminál	ɛ ɡ z ɒ m i n aː l
egzisztencia	ɛ ɡ z i s t ɛ n t͡s i ɒ
egy	ɛ ɟ
egyéb	ɛ ɟ eː b
egyed	ɛ ɟ ɛ d
egyedül	ɛ ɟ ɛ d y l
egyembelű	ɛ ɟ ɛ m b ɛ l yː
egyén	ɛ ɟ eː n
egyenes	ɛ ɟ ɛ n ɛ ʃ
egyenlő	ɛ ɟ ɛ n l øː
egyes	ɛ ɟ ɛ ʃ
egyetemben	ɛ ɟ ɛ t ɛ m b ɛ n
egyetem	ɛ ɟ ɛ t ɛ m
egyez	ɛ ɟ ɛ z
egyezik	ɛ ɟ ɛ z i k
egyszersmind	ɛ ɟ s ɛ r ʃ m i n d
éh	eː h
éjjel	eː jː ɛ l
éjszaka	eː j s ɒ k ɒ
ejt	ɛ j t
eke	ɛ k ɛ
ékes	eː k ɛ ʃ
el	ɛ l
eledel	ɛ l ɛ d ɛ l
elefánt	ɛ l ɛ f aː n t
elég	ɛ l eː ɡ
elegáns	ɛ l ɛ ɡ aː n ʃ
elegyít	ɛ l ɛ ɟ iː t
élelem	eː l ɛ l ɛ m
elem	ɛ l ɛ m
elementum	ɛ l ɛ m ɛ n t u m
eleség	ɛ l ɛ ʃ eː ɡ
eleve	ɛ l ɛ v ɛ
eleven	ɛ l ɛ v ɛ n
élhetetlen	eː l h ɛ t ɛ t l ɛ n
éljen	eː l j ɛ n
elkövet	ɛ l k ø v ɛ t
ellát	ɛ lː aː t
ellen	ɛ lː ɛ n
ellenben	ɛ lː ɛ n b ɛ n
elme	ɛ l m ɛ
elő	ɛ l øː
előd	ɛ l øː d
elöl	ɛ l ø l
előtt	ɛ l øː tː
elpasszol	ɛ l p ɒ sː o l
elpatkol	ɛ l p ɒ t k o l
első	ɛ l ʃ øː
eltökít	ɛ l t ø k iː t
elv	ɛ l v
elvégre	ɛ l v eː ɡ r ɛ
elvélve	ɛ l v eː l v ɛ
elvélte	ɛ l v eː l t ɛ
ember	ɛ m b ɛ r
emel	ɛ m ɛ l
emendál	ɛ m ɛ n d aː l
emészt	ɛ m eː s t
emigráció	ɛ m i ɡ r aː t͡s i oː
emik	ɛ m i k
eminencia	ɛ m i n ɛ n t͡s i ɒ
én	eː n
ének	eː n ɛ k
enged	ɛ n ɡ ɛ d
enyeget	ɛ ɲ ɛ ɡ ɛ t
enyészik	ɛ ɲ eː s i k
enyett	ɛ ɲ ɛ tː
epe	ɛ p ɛ
eper	ɛ p ɛ r
épít	eː p iː t
épkézláb	eː p k eː z l aː b
éppen	eː pː ɛ n
ér	eː r
érc	eː r t͡s
érdekel	eː r d ɛ k ɛ l
érdem	eː r d ɛ m
érdes	eː r d ɛ ʃ
iserdő	i ʃ ɛ r d øː
ereszt	ɛ r ɛ s t
eresz	ɛ r ɛ s
eresztvény	ɛ r ɛ s t v eː ɲ
érez	eː r ɛ z
erge	ɛ r ɡ ɛ
érint	eː r i n t
erkölcs	ɛ r k ø l t͡ʃ
ernyő	ɛ r ɲ øː
erő	ɛ r øː
erőszak	ɛ r øː s ɒ k
ért	eː r t
érte	eː r t ɛ
és	eː ʃ
esd	ɛ ʃ d
esekedik	ɛ ʃ ɛ k ɛ d i k
esernyő	ɛ ʃ ɛ r ɲ øː
esik	ɛ ʃ i k
esküszik	ɛ ʃ k y s i k
eső	ɛ ʃ øː
est	ɛ ʃ t
ész	eː s
észak	eː s ɒ k
eszeveszett	ɛ s ɛ v ɛ s ɛ tː
eszik	ɛ s i k
eszköz	ɛ s k ø z
észlel	eː s l ɛ l
eszmél	ɛ s m eː l
észrevesz	eː s r ɛ v ɛ s
esztendő	ɛ s t ɛ n d øː
eszterág	ɛ s t ɛ r aː ɡ
esztergár	ɛ s t ɛ r ɡ aː r
etyepetye	ɛ c ɛ p ɛ c ɛ
ev	ɛ v
év	eː v
évad	eː v ɒ d
evet	ɛ v ɛ t
evez	ɛ v ɛ z
évődik	eː v øː d i k
ex	ɛ k s
exkuzál	ɛ k s k u z aː l
expressz	ɛ k s p r ɛ sː
ez	ɛ z
ezennel	ɛ z ɛ nː ɛ l
ezer	ɛ z ɛ r
ezüst	ɛ z y ʃ t
fa	f ɒ
fácán	f aː t͡s aː n
facsar	f ɒ t͡ʃ ɒ r
faggat	f ɒ ɡː ɒ t
fagy	f ɒ ɟ
faj	f ɒ j
fáj	f aː j
fájin	f aː j i n
fajta	f ɒ j t ɒ
fakad	f ɒ k ɒ d
fakó	f ɒ k oː
faktum	f ɒ k t u m
fakultás	f ɒ k u l t aː ʃ
fal	f ɒ l
falka	f ɒ l k ɒ
fals	f ɒ l ʃ
falu	f ɒ l u
família	f ɒ m iː l i ɒ
fantasztikus	f ɒ n t ɒ s t i k u ʃ
farag	f ɒ r ɒ ɡ
faramuci	f ɒ r ɒ m u t͡s i
farcsik	f ɒ r t͡ʃ i k
faré	f ɒ r eː
farkas	f ɒ r k ɒ ʃ
farmer	f ɒ r m ɛ r
farok	f ɒ r o k
fartol	f ɒ r t o l
fasz	f ɒ s
fasza	f ɒ s ɒ
faszari	f ɒ s ɒ r i
fater	f ɒ t ɛ r
fátum	f aː t u m
fattyú	f ɒ cː uː
fazék	f ɒ z eː k
fazon	f ɒ z o n
február	f ɛ b r u aː r
fecsérel	f ɛ t͡ʃ eː r ɛ l
fecske	f ɛ t͡ʃ k ɛ
fed	f ɛ d
fedd	f ɛ dː
fedél	f ɛ d eː l
fegyver	f ɛ ɟ v ɛ r
fehér	f ɛ h eː r
fej	f ɛ j
fejal	f ɛ j ɒ l
fejében	f ɛ j eː b ɛ n
fejezet	f ɛ j ɛ z ɛ t
fejsze	f ɛ j s ɛ
fejt	f ɛ j t
fekély	f ɛ k eː j
fekete	f ɛ k ɛ t ɛ
fekszik	f ɛ k s i k
fel	f ɛ l
fél	f eː l
feled	f ɛ l ɛ d
felekezet	f ɛ l ɛ k ɛ z ɛ t
felel	f ɛ l ɛ l
feleség	f ɛ l ɛ ʃ eː ɡ
felesel	f ɛ l ɛ ʃ ɛ l
felette	f ɛ l ɛ tː ɛ
felleg	f ɛ lː ɛ ɡ
felől	f ɛ l øː l
félre	f eː l r ɛ
felség	f ɛ l ʃ eː ɡ
fém	f eː m
fene	f ɛ n ɛ
fenék	f ɛ n eː k
fenekedik	f ɛ n ɛ k ɛ d i k
fenn	f ɛ nː
fenség	f ɛ n ʃ eː ɡ
fentő	f ɛ n t øː
fény	f eː ɲ
fenyeget	f ɛ ɲ ɛ ɡ ɛ t
fenyér	f ɛ ɲ eː r
fér	f eː r
