sense	year	origin	Concepticon_ID	Concepticon_Gloss
Klage, Klageschrift,  Angelegenheit,  Rede, Rolle,  Behandlung,  Handlung, Tätigkeit,  Wirkung,  Geltrafe,  Aktion als grammatischer Terminus 	1589.0	Latin	1115	SPEECH
genau,  sorgfältig,  brav, ehrlich	1758.0	Latin	1466	EXACT
Salzgrube,  Spundloch, Spund,  Schacht,  Öffnung, Fenster,  Bergwerk,  Kamin,  Pulvergang, Sprenggrube,  Faßdaube mit Spundloch,  Visierstab,  Seemine, Tretmine, Geschoß des Minenwerfers,  Grubensteiger,  Mineur 〈Soldat〉 	1177.0	Slavic	1375	WINDOW
unterer,  Tiefland,  unter etw befindliches Gebiet, unter etw befindliche Sache,  Unterteil,  Rest,  Streu,  Grund, Basis	1219.0		2968	REASON
falsch,  maskierend,  Falschheit 	1215.0		1390	WRONG
abwärts,  unten,  darunter,  hinunter,  für,  unterhalb 	1307.0		721	LOW
niedgrig, klein,  untergeordnet,  niederträchtig,  niedergedrückt werden,  niederträchtig werden 	1211.0	derived word	1246	SMALL
Puppe, Docke,  Maske,  Liebchen,  Gestalt, Form,  verziert,  Gaukler, Komödiant 	1338.0		1659	DOLL
unbeholfen, ungeschickt,  träge, faul,  verschlafen,  heimtückisch	1632.0		1564	LAZY
Grund, Fundament 	1774.0	internal	2968	REASON
heimlich, unmerklich,  leise,  niedrig, unten,  heimtückisch 	1519.0		721	LOW
niedrig, minderwertig,  unten befindlich,  geringen Standes,  niederträchtig	1416.0	compound	3348	LOW (POSITION OR HEIGHT)
opfern,  segnen,  Gutes wünschen,  preisen,  heiligen,  schimpfen	1193.0	Proto-Finno-Ugric	391	BLESS
Opfer,  Kauftrunk,  Segnung,  Erlaubnis,  Gelage,  Trinkspruch,  Abschietrunk	1200.0	derived word	1103	SACRIFICE
Anfang,  Buchstabe α 	1519.0	Latin	1557	BEGINNING
schwerlich,  fast nicht,  ungefähr 〈soviel〉,  kaum,  ganz selten,  unwohl 〈sein〉	1372.0	lexicalized inflected word-form	2926	HARDLY
meinen, denken,  sich getrauen zu glauben, hoffen,  bekräftigen, behaupten,  einer Sache Beachtung schenken, in Betracht ziehen	1372.0	derived word	1415	THINK (REFLECT)
Veranlagung,  Struktur,  Bauwerk, Gerüst,  Formel,  Form, Habitus 	1800.0	internal	3747	SHAPE
herstellen,  an- od zusammenpassen,  Erzeuger,  Verfassung 	1416.0		2886	PRODUCE
Art Artznei,  Kermesbeere, Farbstoff aus dieser Pflanze,  Art süßer Branntwein,  roter Farbstoff, Getränk, Artznei usw, ,  Art roter Artznei,  Purpurlaus,  Wurm,  süßer, roter Branntwein,  Kermesbeere,  es ziemt sich,  unterhandeln,  einen Vertrag schließen,  sich anpassen 	1626.0		1219	WORM
stehen, sich in einer Lage befinden,  stillstehen,  emporragen, sich erheben,  bestehen, existieren,  gelten 〈Wort usw.〉,  aushalten, ertragen,  in eine Lage, in einen Zustand kommen,  abhängen,  sich zusammensetzen, sich offenbaren,  fortdauern, erhalten bleiben,  wert sein, kosten,  stellen,  behaupten,  Stelle, Position,  Dienststelle,  stellen,  behaupten 	1372.0		1442	STAND
Kinn,  Kinkette 	1405.0		1510	CHIN
Haltbarkeit,  Staat,  Substanz,  substantiell,  staatlich 	1836.0	Latin	2955	STATE (POLITICS)
stehenbleiben,  festhalten an etw.,  anhalten 	1416.0		2880	HALT (STOP)
schwanger	1931.0	derived word	1123	PREGNANT
Zustand,  Lebewesen,  Sache,  Wesen,  Gestalt,  Gerät,  Tier, Vierfüßer, nagy termetű	1372.0	derived word	619	ANIMAL
Herstellen,  Behauptung, Lehrsatz,  Prädikat	1792.0	internal	2886	PRODUCE
Stelle, Amt,  Station,  Zustand	1829.0	Latin	2430	OFFICE
Gang, Haltung,  Manier	1879.0	German	2979	WALK (MANNER)
Apfelbaum,  Apfel,  〈als Ausdruck der Verneinung〉,  Apfelgarten,  mit Apfelmotiven versehen 〈zB weißes Pferd〉,  faul 〈im Arg〉 	1009.0	Turkic	1320	APPLE
Schrank, Kiste	1517.0	Latin	1465	BOX
erschrecken,  erstaunen	1456.0		252	FRIGHTEN
falsch, schlau,  Verbrecher,	1247.0	derived word	1310	CLEVER
Altstimme,  Alt-	1802.0	German	1229	OLD
über, durch,  gerade, kurz,  durch,  von, vermittelst,  absolut,  allgemein,  das absolute Ding 	1258.0		1645	SHORT
sieh,  wirklich,  wohlan,  jedoch,  wohl, ja 	1462.0		1268	YES
Krug, Meßkrügehen,  Hängevase, Hängelampe	1405.0	loan	270	JUG
Krug, Meßkrügehen,  bauchige Erweiterung eines röhrenförmigen Hohlorgans,  〈zugeschmolzenes〉 Arzneifläschchen 	1685.0	Latin	270	JUG
erschrecken,  ermatten,  staunen,  sich täuschen	1456.0		252	FRIGHTEN
Ananas	1757.0	international word	2440	PINEAPPLE
verdummen,  sich in Gedanken vertiefen,  anstaunen,  herumstreifen, schlendern,  den Mund aufreißen,  in Gedanken vertieftherumgehen, herumlungern,  träumen,  herumgaffen,  wanken, taumeln,  schwärmen,  Art langsamer ungarischer Tanz 	1660.0		1920	DREAM (SOMETHING)
Ahnung,  Lust, Stimmung 	1823.0	German	2960	LONGING (WISH)
Aal 	1525.0	Latin	1013	FRESHWATER EEL
dumm, töricht	1552.0	derived word	1518	STUPID
Antilope,  Spaltleder 〈im Schuhhandel〉 	1837.0	international word	3674	ANTELOPE
Mutter,  Vorgesetzte, Leiterin,  Ursprung,  Stamm-mutter,  Muttertier,  Mütterchen	1181.0	Proto-Uralic	1216	MOTHER
Materie, Urstoff,  Zeug, Tuch, Stoff	1789.0	Latin	1616	CLOTH
bejahrtes Weib, Mütterchen, alte Mutter,  Schwiegermutter	1608.0	derived word	1050	MOTHER-IN-LAW
Vater,  bejahrter Mann,  Zunftmeister,  Schwiegervater,  geistiger Urheber,  allverehrter Mann,  Ahn,  bejahrter Mann, Väterchen,  Väterchen,  Väterchen,  Väterchen	1055.0	Proto-Finno-Ugric	1217	FATHER
offenbar, offen,  ohne Umschweife, klipp und klar,	1617.0	Latin	3235	OPEN (STATE)
küssen,  liebkosen,  pflegen,  Kuß,  Geküsse 	1372.0	derived word	578	KISS
stinkend, schal werden,  entkräftet, mißmutig werden,  nachsinnend vor sich starren,  stinkend 	1588.0	uncertain	42	STINKING
bejahrter Mann, Väterchen,  Schwiegervater,  Großvater,  Vater	1608.0	derived word	1217	FATHER
erwerben, bekommen,  fordern,  verübeln,  tadeln, grollen,  bemäkeln	1572.0	Latin	694	GET
April	1416.0	Latin	2847	APRIL
klein,  Kind,  Lehrling,  Schildknappe, Page,  Kurmacher,  kleinweise	1300.0	derived word	1246	SMALL
strömen, schwellen 	1193.0		2858	STREAM (FLOW CONTINUOUSLY)
Bruder,  Schwiegertochter,  Braut	1479.0	derived word	1262	BROTHER
Gold,  Geld, Schatz,  Goldmünze,  Goldmaß 	1075.0	Proto-Ugric	1369	GOLD
Spanne,  die hohle Hand	1405.0	Proto-Finno-Ugric	3736	INSTEP
ernten, aratnivaló	1211.0	uncertain	1827	HARVEST CROPS
Mast,  Nadelbaum,  stange 	1470.0		184	MAST
pfänden, sperren,  anhalten, verhaften	1579.0		2880	HALT (STOP)
disputieren, beweisen,  anklagen,  flehen, zudringlich bitten,  herumstehen,  feilschen	1527.0	Latin	1814	ACCUSE
〈mildes Fluchw〉,  herumirrend, närrisch,  böse, schlimm,  potztausend!	1844.0		45	EVIL
Musikstück,  Arie,  Melodie,  singen,  rumoren 	1778.0	Italian	1261	SING
Fangschlinge,  Falle 	1789.0	Turkic	1075	TRAP (PITFALL)
Bauer,  gottlos,  bübisch,  mutwillig, listig,  intrigant	1692.0		979	FARMER
Schatten,  Laubhütte, Schuppen,  Abbild,  schattige Noreite,  Spargel,  Schutz,  Abort,  beschattet werden 	1275.0		1388	SHADE
schaden,  schädlich	1456.0		2947	DAMAGE (INJURY)
Ware,  Verhandeln,  Verrat, elárusít,  verkaufen,  Verkäufer, Verräter,  Verkäufer, Verräter,  Verkäufer, Verräter 	1138.0		1571	SELL
Waise,  einsam, verlassen,  verwitwet,  elternlos	1152.0	Proto-Finno-Ugric	1752	LEAVE
graben,  Gräber,  Spaten,  Grube,  Ausgegrabenes	1265.0	unknown	1418	DIG
den Mund aufsperren,  gähnen,  schnarchen,  wünschen,  sich räuspern	1372.0	onomatopoetic	1028	YAWN
Graben,  Ausgegrabenes, Grabgut,  Mineral,  überaltetes Ding	1055.0	derived word	2538	TRENCH (FOSSE)
Königin, Herrin,  Frau,  verheiratete Frau,  Fräulein,  weibliches Geschlecht,  Fraulichkeit	1150.0	Alanic	962	WOMAN
Heuschober, Feimen,  Stein-, Holzhaufen,  Scheune	1395.0	Slavic	3657	GRANARY
Tisch,  Verpflegung, Kost,  viereckige Wune,  Brettergerüst an der Dreschmaschine, an der Seite des Kornschobers usw.,  Tischler	1293.0	Slavic	1775	TABLE
trocken 〈Gelände, Flußbett usw.〉, verdorrt 〈Pflanze〉,  ausgedorrt 〈von Krankheit, Greisenalter〉,  getrocknet 〈Fisch〉, gedörrt 〈Obst〉,  mager,  zehrend 〈Krankheit〉,  aus Trockenbeeren zubereitet 〈Wein〉,  Ausbruch〈wein〉,  Trockenbeere,  Dürre	1217.0	derived word	2219	LEAN (MEAT)
sich schämen, sich sträuben,  ehren	1416.0	derived word	1894	ASHAMED
Krätzmilbe,  Zecke 	1794.0	unknown	1527	TICK
verdammen,  schimpfen, fluchen,  aufreizen, verbittern,  mit Bannfluch belegen,  Verfluchung,  Fluch,  Kirchenbann, áld ~ átkoz, áld, átkoz, szidalmaz,  átkozott, meghív, rendel, kinevez, mond,  tővel tisztázatlan. – Nem tartozik ide: 1446 (Althok zallasa hn., ami tulajdonképpen	1372.0		1313	MOON
attackieren,  disputieren, zanken,  herumfuchteln	1663.0		3899	ATTACKING
Vater,  Priester, Mönch,  allverehrter Mann, Obmann,  Ahn,  Gott,  geistiger Vater einer Sache	1181.0	Proto-Uralic	1217	FATHER
Mitmensch,  Bruder, Geschwister,  verwandter,  Mönch, Nonne,  Gemahlin,  Glaubensgenosse,  Bauer, 〈als Anrede〉,  Lanmann,	1372.0	compound	1262	BROTHER
August	1416.0	Latin	2851	AUGUST
Auto	1909.0	international word	1111	CAR
oder,  ob,  wenigstens,  ungefähr	1372.0	compound	1014	OR
Wald mit verwilderter Vegetation, Urwald,  Bannwald,  verwildertes Röhricht,  verfaulende Vegetation,  kahl werdender Wald,  alt, mächtig, unwirklich 〈Wald〉,  verwildert 〈Wald〉	1232.0	semantic change	1229	OLD
ranzig,  alt,  veraltet, überaltert	1580.0	derived word	1229	OLD
jener,  jener,  auf diejenige Weise	1372.0		78	THAT
der, die, das	1372.0		78	THAT
naß werden, durchtränkt werden,  einweichen,  Gemüse, saftige Speise,  Aufgußtierchen	1231.0	uncertain	924	VEGETABLES
sofort,  indessen,  dabei, so,  aber,	1416.0	lexicalized inflected word-form	2336	OF THIS KIND (SUCH)
sofort	1474.0	lexicalized inflected word-form	2916	INSTANTLY (IMMEDIATELY)
dann,  und dann,	1372.0		2921	THEN
Feuerhaken,  Zeigefinger,  Ofenkehrwisch,  glühende Kohle,  Knüttel, Stange	1550.0	Slavic	577	FOREFINGER
Bild, Gestalt	1372.0		3303	PICTURE (PAINTING)
Pferdebohne,  Gartenbohne,  Bohnen-,  getupft	1211.0	Slavic	832	BEAN
kleines Mädchen,  Spielpuppe,  Säugling,  puppenförmiger Gegenstand, Maskenfigur,  Puppe der Insekten,  Strähne 〈Garn usw〉,  Modepuppe,  Puppenspielfigur,  willenlose Puppe,  Pupille,  Docke 〈am Webstuhl〉	1055.0	onomatopoetic	1658	PUPIL
Kindchen, Säugling,  Frau,  Spielpuppe,  die Geliebte,  Docke 〈am Webstuhl〉, Bestandteil verschiedener Webergeräte,  Figur im Kegelspiel,  verbundener Finger,  Kindchen	1138.0	onomatopoetic	962	WOMAN
altes Weib,  Hebamme,  Großmutter,  Hexe,  Marktfrau	1111.0	Slavic	1496	GRANDMOTHER
Fuß, Füßchen	1641.0		1301	FOOT
Puppe,  Kegel, Figur 〈in versch Spielen〉,  Marionette 〈pejor〉 	1693.0	onomatopoetic	1659	DOLL
Brustwarze,  Euter	1585.0	derived word	154	UDDER
Onkel, bejahrter Mann 〈auch als Anredewort〉	1787.0	derived word	1327	UNCLE
Blei, Zinn,  unedles Metall,  Blechgefäß,  blechern,  Klempner	1329.0	unknown	893	TIN (METAL)
Juchten,  Riemen,  Stiefel,  unverschämt, schamlos	1552.0	Ottoman-Turkic	585	BOOT
Tabakrest in der Pfeife, Kautabak,  〈mindere〉 Tabakware, Zigarette,  unbedeutender Gegenwert, ein Pappenstiel,  Tabak kauen,  rauchen	1836.0	loan	1689	SMOKE (INHALE)
Eule,  Nachteule 〈vom Menschen〉,  Schuljunge,  der Alte,  dumm	1211.0	unknown	735	OWL
Kampf, Zweikampf,  Ort des Zweikampfes,  Sorge,  Angelegenheit,  Beschwerlichkeit, Plackerei,  Krankheit, Defekt,  Menstruation,  Notdurft,  Hinderniss	1138.0	Croatian or Serbian	2214	AFFAIR
Zauberer, Quacksalber,  anmutig, entzückend 	1387.0		823	SORCERER
Schnurrbart,  Ranke,  Bartfäden,  Granne	1522.0	unknown	1165	MOUSTACHE
bock,  Widder,  Sturmbock,  Art Gerüst aus Holz,  Kutschbock,  Art Turngerät	1138.0	loan	1344	RAM
Beere,  fleischiger Lappen 〈am Kinn mancher Tiere〉,  Quaste, Zierat,  Auge 〈an Bäumen〉	1138.0	unknown	904	BERRY
langsam gehen,  buchstabierend lesen,  Laufen,  humpeln, hinken,  nickend schlummern	1659.0		1443	WALK
linke,  böse,  falsch,  die linke Seite,  die linke Hand,  Linkshänder	1086.0	uncertain	45	EVIL
Bündel,  Ballen 〈auch als Maßeinheit〉	1355.0	loan	2943	BUNDLE
einfältig, unsinnig,  herumirrend,  unruhig hin und her gehend,  sich albern verhalten,  verrückt	1372.0		1899	MAD
Ungelegenheit, Gefitze,  Lärm, Aufruhr	1862.0	loan	1182	NOISE
Ball,  Luftschiff, Ballon,  Glasbehälter,  Ballonleinwand,  Mantel aus Ballonleinwand 	1793.0	international word	1845	BALL
Steinsäule, Grenzstein,  Pfosten,  Götze,  ein Bestandteil der Presse,  riesig, Riesen-,  ein Bestandteil des hölzernen Schiffes,  Floß,  großer Knüttel, Achse,  mit Steinsäulen versehen,  heidnisch lebend, bálványimádó	1001.0		1664	RAFT
stumpfsinnig, tölpelhaft,  taub	1400.0	derived word	996	DEAF
bereuen,  übelnehmen,  bedauern,  beneiden,  Schader erleiden,  trauern	1372.0	uncertain	1955	GRIEVE
Ban,  Kommandant einer Grenzfestung,  Herr	1138.0	Croatian or Serbian	3153	LORD
Bananenbaum,  Banane	1795.0	international word	868	BANANA
sich um etw od jmdn kümmern,  mit jmdm umgehen,  gebrauchen, handhaben,  heilen,  geschlechtlich verkehren 	1470.0	paronymy	499	CURE
behelligen,  mißhandeln,  hindern,  plagen 〈Krankheit〉,  beleidigen,  anrühren	1138.0	derived word	554	HINDER
altes Weib,  bösartige Alte,  Hexe,  Großmutter,	1723.0	segmentation error	1496	GRANDMOTHER
Bergwerk,  Metall,  Bergwerk	1217.0	Slavic	2244	METAL
Heilbad im Freien Bad,  Grube, in der Lehmziegel gestampft werden,  zerwühltes Lager von Schweinen	1577.0	Croatian or Serbian	2539	PIT (POTHOLE)
Kälberkropf,  Kerbel,  Kartoffel,  Erdnuß 	1588.0	Wanderwort	593	POTATO
Pfirsichbaum,  Pfirsich,  Aprikose,  Aprikosenbaum,  Kopfnuß	1395.0	Slavic	2043	PEACH
Mönch,  Nächster,  Freund,  Freund, szerzetesi állapot	1156.0	Slavic	1325	FRIEND
Bachstelze 	1585.0	compound	3010	WAGTAIL
Fremdling 〈haupts Nichtjude, Nichtgrieche, Nichtrömer〉,  Ungebildeter,  grober Mensch,  fremd, nichtgriechisch, nichtrömisch 〈Volk〉,  barbarisch	1416.0	Latin	109	FOREIGN
Zettel,  Marke, Zeichen,  eingetragene Prostituierte	1819.0	unknown	1720	SIGN
Barke,  Fischbehälter,  Kiste,  Wagen	1251.0	Croatian or Serbian	1465	BOX
Angehöriger einer ungarischen ethnographischen Gruppe in Nordostungarn,  von dieser ethnographischen Gruppe bewohnt, auf diese Gruppe bezüglich,  dumm, unanständig	1833.0	uncertain	1518	STUPID
Grotte, Höhle,  Unterschlupf,  Spelunke 	1233.0	Slavic	1155	CAVE
braun	1255.0	loan	2409	BROWN
Vieh 〈Koll〉, Rind,  Herde,  vieh 〈pejor〉,  riesengroß,  Unsinn	1247.0	Turkic	2939	FLOCK (OF ANIMALS)
vögeln, ficken,  aufreizen,  auf etw scheißen,  öfters ficken,  tadeln, molestieren 	1213.0	Turkic	549	COPULATE
mutig,  sicher,  sanft,  schnell,  mutig werden,  mutig werden 	1086.0	Turkic	1631	FAST
Onkel,  älterer Bruder,  〈als Anrede an einem Älteren〉	1271.0	uncertain	1759	OLDER BROTHER
Bündel	1792.0	uncertain	2943	BUNDLE
Markt,  Basar	1825.0	international word	633	MARKET
lächeln	1873.0	internal	1451	SMILE
〈eine Verbalwortsilbe〉,  nach innen,  drinnen	1372.0	clipping	1606	INSIDE
wie !	1610.0	onomatopoetic	1239	HOW
Hülsenfrucht,  Weizen,  Schote, Hülse	1247.0	unknown	2363	CHAFF (HUSK)
〈kostbares〉 Deposit,  Maß, Maßgefäß,  Schätzung, Schätzungswert,  Verehrung,  Last,  Schatzmeister	1389.0		1679	LOAD
Kropf der Vögel,  Magen,  Fingerkuppe,  weibliche Brust,  stolz	1318.0	uncertain	819	STOMACH
Frosch, Kröte,  Geschwulst,  Art Pferde- und Viehkranheit,  Kind, Backfisch,  springender Feuerwerkskörper,  Bizeps	1295.0	Turkic	503	FROG
Ruhe,  Friede, Friedenschluß,  Bund,  sich versöhnen,  sich demütigen 	1086.0	unknown	3458	SILENCE
Eingeweide, das Innere,  Fruchtfleisch,  Docht,  Seele,  Darm,  Magen,  inner	1055.0	Proto-Finno-Ugric	819	STOMACH
inner,  intim,  das Innere 〈eines Gegenstandes〉,  Seele	1225.0	derived word	811	SOUL
aus,  von,  wegen,  innerhalb,  in 〈mit Akk〉,  von innen,  drinnen,  in 〈mit Akk〉,  das Innere	1372.0		2918	BECAUSE OF
Brandmal, Brandmarke,  Narbe,  mal, KEnnzeichen,  Siegel,  Wertzeichen,  Briefmarke	1263.0	uncertain	497	SCAR
lahm, krüppelhaft,  verstümmelt,  hinkend,  kraftlos,  Lahmer	1372.0	Slovakian	320	LAME
Bauch,  Wamme,  Magen, Pansen,  Rinblase,  Art Behälter, bauchiger Krug,  Kuttel,  wulstige Wurzel	1398.0	loan	1251	BELLY
Lohn,  Miete,  Knecht	1121.0	uncertain	1122	WAGES
Hammel,  Widder,  Rammklotz,  Lederschürze,  Lammfellmütze,  grober Mann,  Pekesche	1423.0	Romanian	1344	RAM
Jochscheide,  Rippe,  Stift zum Knüpfen von Fischnetzen,  Wagenschwengel	1816.0	Slavic	801	RIB
Ufer,  Hain,  Moor	1193.0	uncertain	3464	SHORE OF LAKE
Hose, Art Unterkleid,  Schürze,  Decke	1358.0	loan	809	TROUSERS
firmen,  benennen,  prügeln, schlagen	1519.0	Croatian or Serbian	3308	STRIKE (SOMEONE)
wüten 〈Mensch〉, sich auflehnen,  unruhig sein,  zögern, sich grausen,  die Federn, die Haare sträubend wüten 〈Tier〉,  necken	1566.0		3629	HESITATE
Art Raubvogel,  Milan, Krähe	1138.0	uncertain	913	CROW
Tier, wildes Raubtier,  〈als Schelt- od Schimpfw〉,  niederträchtig, schuftig	1490.0		619	ANIMAL
Schurke 〈als Scheit- od Schimpfw〉,  unvernünftiges Wesen,  Tier, wildes Raubtier,  Hure,  selbstsüchtiges, grausames Weib,  niederträchtig, schmachvoll	1507.0		619	ANIMAL
Rede,  Wort,  Märchen	1138.0		1599	WORD
Kranke,  krank,  erkranken,  krank sein,  Erkrankung	1372.0	uncertain	1847	SICK
Schrift, Text,  Buchstabe, Schriftzeichen,  Wort,  Sprachlaut	1416.0	Turkic	1599	WORD
vazierender, sich von Tagelohn ernährender junger Mensch,  Straßenräuber,  Schweinehirt,  schmucker Bursch,  Taugenichts, Spitzbube,  Herrschaftsknecht, Instmann,  Treidler,  angenommenes Kind,  unbändig, grob, ungezogen,  schlimm, grimmig,  sehr	1744.0	Croatian or Serbian	1311	VERY
ja aber,  Sporn,  Haken, Schwierigkeit,  Gewißheit	1219.0	lexicalized inflected word-form	1071	HOOK
unbeholfen, dumm,  unnütz 〈Person〉,  schamlos, niederträchtig	1784.0	Romani	1518	STUPID
Paprika	1735.0	Croatian or Serbian	1385	PEPPER
feines Leinengewebe,  rotfarbiger Kleiderstoff, Samt,  Purpurfarbe, Rot,  aus dem Saft der Purpurschnecke gewonnener Farbstoff,  Inkarnatklee,  purpurfarben 〈Kleid〉, rot gefärbt 〈Kleid〉,  aus Leinengewebe gemacht 〈Kleid〉,  Kardinal	1181.0	uncertain	156	RED
kippen lassen,  hinken,  nicken	1767.0		366	LIMP
Fahrrad	1891.0	German	747	BICYCLE
mit jmdm geschlechtlich verkehren,  sich verrenken,  sinken, sich 〈den Fuß〉 verstauchen,  hinken,  stolpern	1564.0	derived word	1088	SINK (DESCEND)
Schusterkneif,  Taschenmesser,  Dieb	1522.0	uncertain	1160	THIEF
anhängen, hinzufügen,  〈Lippen〉 aufwerfen	1636.0		2882	ADD
irgendeine Kleinigkeit, wertloses Zeug,  Geld,  Nachttopf	1930.0	internal	1559	MONEY
Stier,  großer, starker Mann,  männliches Tier,  geschlechtlich kräftiger Mann, Buhler,  Hebebock,  Rammbock,  Dampfmaschine	1138.0	Turkic	1008	BULL
unerfahrener Jüngling,  unerfahren,  dumm	1843.0	unknown	1518	STUPID
