form	sense	year	origin	Loan	Concepticon_ID	Concepticon_Gloss
agitál	 unterhandeln,  Tätigkeit entfalten,  umrühren,  gewinnen, aufmuntern,  aufwiegeln	1589.0		False	696.0	STIR
ágrólszakadt	 ärmlich aussehend, lumpig, arm,  unbeholfen, ungeschickt,  schuftig, rüpelhaft,  hergelaufen, von unbekannter Herkunft 	1793.0	compound	False	1674.0	POOR
agy	 Schädel, Kopf,  Nabe,  Gewehrkolben,  Halfter,  Gehirn, Vernunft,  verprügeln,  ausklügeln, ersinnen	1138.0	Proto-Finno-Ugric	False	1256.0	HEAD
ágy	 Flußbett,  Bett, Lagerstätte,  Lafette,  Essiglager, Bodensatz,  Beet,  〈als Symbol der Familie〉,  Streu,  Bettzeug,  auf der Tenne ausgebreitetes Getreide bzw. aisgebreitete Garben,  Konkubine 	1276.0		False	1663.0	BED
agyafúrt	 irrsinnig, närrisch,  schlau,  hartnäckig 	1538.0	compound	False	1310.0	CLEVER
agyag	 Ton 	1205.0	unknown	False	2995.0	TONE (MUSIC)
ágyék	 Lende	1490.0	derived word	False	187.0	LOIN
ágyú	 mit Schießpulver wirkende Steinschleuder,  Werkzeug, Gerät,  Geschütz, Kanone,  Kanone mit Sprengsatz	1456.0	uncertain	False	1361.0	TOOL
áj²	 Tal, Schlucht,  Öffnung,  Falz, Kerbe,  Zaum,  Zwischenraum,  angezeichnet,  Sardelle,  Sardelle	1055.0		False	921.0	VALLEY
ajak	 Mund,Lippe,  Schamlippe,  Öffnung 〈eines Gefäßes〉,  Kinn,  Lippenblütler 	1228.0	derived word	False	674.0	MOUTH
ajándék	 Geschenk,  Opfergabe	1137.0	derived word	False	2982.0	GIFT
ajánl	 anbieten, anvertrauen,  opfern,  versprechen, áldozat,  Angelobung,  Angebot,  Empfehler,  Einschreibebrief 	1372.0	derived word	False	1675.0	PROMISE
ájer	 Luft, Atmosphäre,  heilkräftige Flüssigkeit,  Wind,  Gestank	1565.0	Latin	True	960.0	WIND
ajnároz	 hätscheln, pflegen,  ordnen	1825.0	uncertain	False	253.0	CARE FOR
ajtó	 Tür, ajtóőriző	1315.0	derived word	False	1567.0	DOOR
ájul	 erschrecken,  in Ohnmacht fallen,  staunen, álmélkodik,  sich sehnen, 	1559.0	onomatopoetic	False	252.0	FRIGHTEN
akar	 wollen,  freiwillig,  gewaltsam, erőszakos	4811.0	uncertain	False	1784.0	WANT
akaszt	 hängen,  schlagen,  Haken,  binden 	1192.0		False	1917.0	TIE
agitál	 unterhandeln,  Tätigkeit entfalten,  umrühren,  gewinnen, aufmuntern,  aufwiegeln	1589.0		False	696.0	STIR
ágrólszakadt	 ärmlich aussehend, arm,  unbeholfen, ungeschickt,  schuftig, rüpelhaft,  hergelaufen, unbekannter Abstammung 	1793.0		False	1674.0	POOR
agy	 Schädel, Kopf,  Nabe,  Gewehrkolben,  Halfter,  Gehirn, Vernunft,  verprügeln,  ausklügeln, ersinnen	1138.0		False	1256.0	HEAD
ágy	 Flußbett,  Bett,  Lafette,  Essiglager, Bodensatz,  Beet,  〈als Symbol der Familie〉,  Streu,  Bettzeug,  ausgebreitetes Getreide, ausgebreitete Garben 〈auf der Tenne〉,  Konkubine 	1276.0		False	1663.0	BED
agyafúrt	 irrsinnig,  durchtrieben, schlau,  stur 	1538.0		False	1310.0	CLEVER
agyag	 Ton, Lehm 	1205.0		False	1399.0	CLAY
ágyék	 Lende	1490.0		False	187.0	LOIN
ágyú	 mit Schießpulver wirkende Steinschleuder,  Werkzeug, Gerät,  Kanone mit Sprengsatz	1456.0		False	1361.0	TOOL
áj¹	 aushöhlen	1833.0		False	46.0	HOLLOW OUT
áj²	 Tal, Schlucht,  Öffnung, Zwischenraum,  Falz, Kerbe,  Zaum,  angezeichnet,  Sardelle,  Mund, Lippe,  Schamlippe,  Öffnung 〈eines Gefäßes〉,  Kinn,  Lippenblütler 	1055.0		False	674.0	MOUTH
ajándék	 Geschenk,  Opfergabe	1137.0		False	2982.0	GIFT
ajánl	 empfehlen,  opfern,  versprechen, áldozat,  Angelobung,  Angebot,  Empfehler,  Einschreibebrief 	1372.0		False	1675.0	PROMISE
ájer	 Luft, Atmosphäre,  heilkräftige Flüssigkeit,  Wind,  Gestank	1565.0		False	960.0	WIND
ajnároz	 hätscheln, pflegen,  ordnen	1825.0		False	253.0	CARE FOR
ájtatos	 andächtig,  scheinheilig,  Tür,  öffnen	1372.0		False	1156.0	OPEN
ájul	 in Ohnmacht fallen,  erschrecken,  staunen, erstaunt sein,  sich sehnen, 	1559.0		False	252.0	FRIGHTEN
akar	 wollen,  freiwillig,  gewaltsam 	1109.0		False	1784.0	WANT
akaszt	 hängen,  Haken,  binden 	1192.0		False	1917.0	TIE
akceptál	 gutheißen, annehmen,  aufnehmen, empfangen,  einrechnen	1570.0	Latin	True	694.0	GET
akció	 Klage, Klageschrift,  Angelegenheit,  Rede, Rolle,  Behandlung,  Handlung, Tätigkeit,  Wirkung,  Geltrafe,  Aktion als grammatischer Terminus 	1589.0	Latin	True	1115.0	SPEECH
akkurátus	 genau,  sorgfältig,  brav, ehrlich	1758.0	Latin	True	1466.0	EXACT
akna	 Salzgrube,  Spundloch, Spund,  Schacht,  Öffnung, Fenster,  Bergwerk,  Kamin,  Pulvergang, Sprenggrube,  Faßdaube mit Spundloch,  Visierstab,  Seemine, Tretmine, Geschoß des Minenwerfers,  Grubensteiger,  Mineur 〈Soldat〉 	1177.0	Slavic	True	1375.0	WINDOW
al	 unterer,  Tiefland,  unter etw befindliches Gebiet, unter etw befindliche Sache,  Unterteil,  Rest,  Streu,  Grund, Basis	1219.0		False	2968.0	REASON
ál	 falsch,  maskierend,  Falschheit 	1215.0		False	1390.0	WRONG
alá	 abwärts,  unten,  darunter,  hinunter,  für,  unterhalb 	1307.0		False	721.0	LOW
alacsony	 niedgrig, klein,  untergeordnet,  niederträchtig,  niedergedrückt werden,  niederträchtig werden 	1211.0	derived word	False	1246.0	SMALL
alak¹	 Puppe, Docke,  Maske,  Liebchen,  Gestalt, Form,  verziert,  Gaukler, Komödiant 	1338.0		False	1659.0	DOLL
alamuszi	 unbeholfen, ungeschickt,  träge, faul,  verschlafen,  heimtückisch	1632.0		False	1564.0	LAZY
alap	 Grund, Fundament 	1774.0	internal	False	2968.0	REASON
alattomban	 heimlich, unmerklich,  leise,  niedrig, unten,  heimtückisch 	1519.0		False	721.0	LOW
alávaló	 niedrig, minderwertig,  unten befindlich,  geringen Standes,  niederträchtig	1416.0	compound	False	3348.0	LOW (POSITION OR HEIGHT)
áld	 opfern,  segnen,  Gutes wünschen,  preisen,  heiligen,  schimpfen	1193.0	Proto-Finno-Ugric	False	391.0	BLESS
áldomás	 Opfer,  Kauftrunk,  Segnung,  Erlaubnis,  Gelage,  Trinkspruch,  Abschietrunk	1200.0	derived word	False	1103.0	SACRIFICE
alfa	 Anfang,  Buchstabe α 	1519.0	Latin	True	1557.0	BEGINNING
alig	 schwerlich,  fast nicht,  ungefähr 〈soviel〉,  kaum,  ganz selten,  unwohl 〈sein〉	1372.0	lexicalized inflected word-form	False	2926.0	HARDLY
alít	 meinen, denken,  sich getrauen zu glauben, hoffen,  bekräftigen, behaupten,  einer Sache Beachtung schenken, in Betracht ziehen	1372.0	derived word	False	1415.0	THINK (REFLECT)
alkat	 Veranlagung,  Struktur,  Bauwerk, Gerüst,  Formel,  Form, Habitus 	1800.0	internal	False	3747.0	SHAPE
alkot	 herstellen,  an- od zusammenpassen,  Erzeuger,  Verfassung 	1416.0		False	2886.0	PRODUCE
alkörmös	 Art Artznei,  Kermesbeere, Farbstoff aus dieser Pflanze,  Art süßer Branntwein,  roter Farbstoff, Getränk, Artznei usw, ,  Art roter Artznei,  Purpurlaus,  Wurm,  süßer, roter Branntwein,  Kermesbeere,  es ziemt sich,  unterhandeln,  einen Vertrag schließen,  sich anpassen 	1626.0		False	1219.0	WORM
áll¹	 stehen, sich in einer Lage befinden,  stillstehen,  emporragen, sich erheben,  bestehen, existieren,  gelten 〈Wort usw.〉,  aushalten, ertragen,  in eine Lage, in einen Zustand kommen,  abhängen,  sich zusammensetzen, sich offenbaren,  fortdauern, erhalten bleiben,  wert sein, kosten,  stellen,  behaupten,  Stelle, Position,  Dienststelle,  stellen,  behaupten 	1372.0		False	1442.0	STAND
áll²	 Kinn,  Kinkette 	1405.0		False	1510.0	CHIN
állam	 Haltbarkeit,  Staat,  Substanz,  substantiell,  staatlich 	1836.0	Latin	True	2955.0	STATE (POLITICS)
állapik†	 stehenbleiben,  festhalten an etw.,  anhalten 	1416.0		False	2880.0	HALT (STOP)
állapotos	 schwanger	1931.0	derived word	False	1123.0	PREGNANT
állat	 Zustand,  Lebewesen,  Sache,  Wesen,  Gestalt,  Gerät,  Tier, Vierfüßer, nagy termetű	1372.0	derived word	False	619.0	ANIMAL
állítmány	 Herstellen,  Behauptung, Lehrsatz,  Prädikat	1792.0	internal	False	2886.0	PRODUCE
állomás	 Stelle, Amt,  Station,  Zustand	1829.0	Latin	True	2430.0	OFFICE
allűr	 Gang, Haltung,  Manier	1879.0	German	True	2979.0	WALK (MANNER)
alma	 Apfelbaum,  Apfel,  〈als Ausdruck der Verneinung〉,  Apfelgarten,  mit Apfelmotiven versehen 〈zB weißes Pferd〉,  faul 〈im Arg〉 	1009.0	Turkic	True	1320.0	APPLE
almárium	 Schrank, Kiste	1517.0	Latin	True	3106.0	WARDROBE
álmél†	 erschrecken,  erstaunen	1456.0		False	252.0	FRIGHTEN
álnok	 falsch, schlau,  Verbrecher, 	1247.0	derived word	False	1310.0	CLEVER
alt	 Altstimme,  Alt-	1802.0	German	True	2112.0	OLD (AGED)
által	 über, durch,  gerade, kurz,  durch,  von, vermittelst,  absolut,  allgemein,  das absolute Ding 	1258.0		False	1645.0	SHORT
ám	 sieh,  wirklich,  wohlan,  jedoch,  wohl, ja 	1462.0		False	1268.0	YES
ámpolna	 Krug, Meßkrügehen,  Hängevase, Hängelampe	1405.0	loan	True	270.0	JUG
ampulla	 Krug, Meßkrügehen,  bauchige Erweiterung eines röhrenförmigen Hohlorgans,  〈zugeschmolzenes〉 Arzneifläschchen 	1685.0	Latin	True	270.0	JUG
ámul	 erschrecken,  ermatten,  staunen,  sich täuschen	1456.0		False	252.0	FRIGHTEN
ananász	 Ananas	1757.0	international word	True	2440.0	PINEAPPLE
andalodik	 verdummen,  sich in Gedanken vertiefen,  anstaunen,  herumstreifen, schlendern,  den Mund aufreißen,  in Gedanken vertieftherumgehen, herumlungern,  träumen,  herumgaffen,  wanken, taumeln,  schwärmen,  Art langsamer ungarischer Tanz 	1660.0		False	1920.0	DREAM (SOMETHING)
ándung	 Ahnung,  Lust, Stimmung 	1823.0	German	True	2960.0	LONGING (WISH)
angolna	 Aal 	1525.0	Latin	True	1013.0	FRESHWATER EEL
antal†	 dumm, töricht	1552.0	derived word	False	1518.0	STUPID
antilop	 Antilope,  Spaltleder 〈im Schuhhandel〉 	1837.0	international word	True	3674.0	ANTELOPE
anya	 Mutter,  Vorgesetzte, Leiterin,  Ursprung,  Stamm-mutter,  Muttertier,  Mütterchen	1181.0	Proto-Uralic	False	1216.0	MOTHER
anyag	 Materie, Urstoff,  Zeug, Tuch, Stoff	1789.0	Latin	True	1616.0	CLOTH
anyós	 bejahrtes Weib, Mütterchen, alte Mutter,  Schwiegermutter	1608.0	derived word	False	1050.0	MOTHER-IN-LAW
apa	 Vater,  bejahrter Mann,  Zunftmeister,  Schwiegervater,  geistiger Urheber,  allverehrter Mann,  Ahn,  bejahrter Mann, Väterchen,  Väterchen,  Väterchen,  Väterchen	1055.0	Proto-Finno-Ugric	False	1217.0	FATHER
áperte	 offenbar, offen,  ohne Umschweife, klipp und klar, 	1617.0	Latin	True	3235.0	OPEN (STATE)
ápol	 küssen,  liebkosen,  pflegen,  Kuß,  Geküsse 	1372.0	derived word	False	578.0	KISS
áporodik	 stinkend, schal werden,  entkräftet, mißmutig werden,  nachsinnend vor sich starren,  stinkend 	1588.0	uncertain	False	42.0	STINKING
após	 bejahrter Mann, Väterchen,  Schwiegervater,  Großvater,  Vater	1608.0	derived word	False	1217.0	FATHER
aprehendál	 erwerben, bekommen,  fordern,  verübeln,  tadeln, grollen,  bemäkeln	1572.0	Latin	True	694.0	GET
április	 April	1416.0	Latin	True	2847.0	APRIL
apród	 klein,  Kind,  Lehrling,  Schildknappe, Page,  Kurmacher,  kleinweise	1300.0	derived word	False	1246.0	SMALL
ár¹	 strömen, schwellen 	1193.0		False	2858.0	STREAM (FLOW CONTINUOUSLY)
ara	 Bruder,  Schwiegertochter,  Braut	1479.0	derived word	False	1262.0	BROTHER
arany	 Gold,  Geld, Schatz,  Goldmünze,  Goldmaß 	1075.0	Proto-Ugric	False	1369.0	GOLD
arasz	 Spanne,  die hohle Hand	1405.0	Proto-Finno-Ugric	False	3736.0	INSTEP
arat	 ernten, aratnivaló	1211.0	uncertain	False	1827.0	HARVEST CROPS
árbóc	 Mast,  Nadelbaum,  stange 	1470.0		False	281.0	POST
árestál	 pfänden, sperren,  anhalten, verhaften	1579.0		False	2880.0	HALT (STOP)
árguvál	 disputieren, beweisen,  anklagen,  flehen, zudringlich bitten,  herumstehen,  feilschen	1527.0	Latin	True	1814.0	ACCUSE
árgyélus	 〈mildes Fluchw〉,  herumirrend, närrisch,  böse, schlimm,  potztausend!	1844.0		False	45.0	EVIL
ária	 Musikstück,  Arie,  Melodie,  singen,  rumoren 	1778.0	Italian	True	1261.0	SING
árkány	 Fangschlinge,  Falle 	1789.0	Turkic	True	1075.0	TRAP (PITFALL)
ármányos	 Bauer,  gottlos,  bübisch,  mutwillig, listig,  intrigant	1692.0		False	979.0	FARMER
árnyék	 Schatten,  Laubhütte, Schuppen,  Abbild,  schattige Noreite,  Spargel,  Schutz,  Abort,  beschattet werden 	1275.0		False	1388.0	SHADE
árt¹	 schaden,  schädlich	1456.0		False	2947.0	DAMAGE (INJURY)
áru	 Ware,  Verhandeln,  Verrat, elárusít,  verkaufen,  Verkäufer, Verräter,  Verkäufer, Verräter,  Verkäufer, Verräter 	1138.0		False	1571.0	SELL
árva	 Waise,  einsam, verlassen,  verwitwet,  elternlos	1152.0	Proto-Finno-Ugric	False	1752.0	LEAVE
ás	 graben,  Gräber,  Spaten,  Grube,  Ausgegrabenes	1265.0	unknown	False	1418.0	DIG
ásít	 den Mund aufsperren,  gähnen,  schnarchen,  wünschen,  sich räuspern	1372.0	onomatopoetic	False	1983.0	SNORE
ásvány	 Graben,  Ausgegrabenes, Grabgut,  Mineral,  überaltetes Ding	1055.0	derived word	False	1418.0	DIG
asszony	 Königin, Herrin,  Frau,  verheiratete Frau,  Fräulein,  weibliches Geschlecht,  Fraulichkeit	1150.0	Alanic	True	962.0	WOMAN
asztag	 Heuschober, Feimen,  Stein-, Holzhaufen,  Scheune	1395.0	Slavic	True	3657.0	GRANARY
asztal	 Tisch,  Verpflegung, Kost,  viereckige Wune,  Brettergerüst an der Dreschmaschine, an der Seite des Kornschobers usw.,  Tischler	1293.0	Slavic	True	1775.0	TABLE
aszú	 trocken 〈Gelände, Flußbett usw.〉, verdorrt 〈Pflanze〉,  ausgedorrt 〈von Krankheit, Greisenalter〉,  getrocknet 〈Fisch〉, gedörrt 〈Obst〉,  mager,  zehrend 〈Krankheit〉,  aus Trockenbeeren zubereitet 〈Wein〉,  Ausbruch〈wein〉,  Trockenbeere,  Dürre	1217.0	derived word	False	2219.0	LEAN (MEAT)
átall	 sich schämen, sich sträuben,  ehren	1416.0	derived word	False	3628.0	HONOR (SOMEBODY)
atka	 Krätzmilbe,  Zecke 	1794.0	unknown	False	1527.0	TICK
átkoz	 verdammen,  schimpfen, fluchen,  aufreizen, verbittern,  mit Bannfluch belegen,  Verfluchung,  Fluch,  Kirchenbann, áld ~ átkoz, áld, átkoz, szidalmaz,  átkozott, meghív, rendel, kinevez, mond,  tővel tisztázatlan. – Nem tartozik ide: 1446 (Althok zallasa hn., ami tulajdonképpen 	1372.0		False	1313.0	MOON
attakíroz	 attackieren,  disputieren, zanken,  herumfuchteln	1663.0		False	3899.0	ATTACKING
atya	 Vater,  Priester, Mönch,  allverehrter Mann, Obmann,  Ahn,  Gott,  geistiger Vater einer Sache	1181.0	Proto-Uralic	False	1217.0	FATHER
atyafi	 Mitmensch,  Bruder, Geschwister,  verwandter,  Mönch, Nonne,  Gemahlin,  Glaubensgenosse,  Bauer, 〈als Anrede〉,  Lanmann, 	1372.0	compound	False	1262.0	BROTHER
augusztus	 August	1416.0	Latin	True	2851.0	AUGUST
autó	 Auto	1909.0	international word	True	1111.0	CAR
avagy	 oder,  ob,  wenigstens,  ungefähr	1372.0	compound	False	1014.0	OR
avas¹	 Wald mit verwilderter Vegetation, Urwald,  Bannwald,  verwildertes Röhricht,  verfaulende Vegetation,  kahl werdender Wald,  alt, mächtig, unwirklich 〈Wald〉,  verwildert 〈Wald〉	1232.0	semantic change	False	1229.0	OLD
avas²	 ranzig,  alt,  veraltet, überaltert	1580.0	derived word	False	1229.0	OLD
az¹	 jener,  jener,  auf diejenige Weise	1372.0		False	78.0	THAT
az²	 der, die, das	1372.0		False	78.0	THAT
ázik	 naß werden, durchtränkt werden,  einweichen,  Gemüse, saftige Speise,  Aufgußtierchen	1231.0	uncertain	False	924.0	VEGETABLES
azonban	 sofort,  indessen,  dabei, so,  aber, 	1416.0	lexicalized inflected word-form	False	2336.0	OF THIS KIND (SUCH)
azonnal	 sofort	1474.0	lexicalized inflected word-form	False	2916.0	INSTANTLY (IMMEDIATELY)
azután	 dann,  und dann, 	1372.0		False	2921.0	THEN
azsag	 Feuerhaken,  Zeigefinger,  Ofenkehrwisch,  glühende Kohle,  Knüttel, Stange	1550.0	Slavic	True	281.0	POST
ábráz†	 Bild, Gestalt	1372.0		False	3303.0	PICTURE (PAINTING)
bab	 Pferdebohne,  Gartenbohne,  Bohnen-,  getupft	1211.0	Slavic	True	832.0	BEAN
báb	 kleines Mädchen,  Spielpuppe,  Säugling,  puppenförmiger Gegenstand, Maskenfigur,  Puppe der Insekten,  Strähne 〈Garn usw〉,  Modepuppe,  Puppenspielfigur,  willenlose Puppe,  Pupille,  Docke 〈am Webstuhl〉	1055.0	onomatopoetic	False	1658.0	PUPIL
baba	 Kindchen, Säugling,  Frau,  Spielpuppe,  die Geliebte,  Docke 〈am Webstuhl〉, Bestandteil verschiedener Webergeräte,  Figur im Kegelspiel,  verbundener Finger,  Kindchen	1138.0	onomatopoetic	False	962.0	WOMAN
bába	 altes Weib,  Hebamme,  Großmutter,  Hexe,  Marktfrau	1111.0	Slavic	True	1496.0	GRANDMOTHER
bábó	 Fuß, Füßchen	1641.0		False	1301.0	FOOT
bábu	 Puppe,  Kegel, Figur 〈in versch Spielen〉,  Marionette 〈pejor〉 	1693.0	onomatopoetic	False	1659.0	DOLL
babug	 Brustwarze,  Euter	1585.0	derived word	False	154.0	UDDER
bácsi	 Onkel, bejahrter Mann 〈auch als Anredewort〉	1787.0	derived word	False	1327.0	UNCLE
bádog	 Blei, Zinn,  unedles Metall,  Blechgefäß,  blechern,  Klempner	1329.0	unknown	False	893.0	TIN (METAL)
bagaria	 Juchten,  Riemen,  Stiefel,  unverschämt, schamlos	1552.0	Ottoman-Turkic	True	585.0	BOOT
bagó	 Tabakrest in der Pfeife, Kautabak,  〈mindere〉 Tabakware, Zigarette,  unbedeutender Gegenwert, ein Pappenstiel,  Tabak kauen,  rauchen	1836.0	loan	True	1689.0	SMOKE (INHALE)
bagoly	 Eule,  Nachteule 〈vom Menschen〉,  Schuljunge,  der Alte,  dumm	1211.0	unknown	False	735.0	OWL
baj	 Kampf, Zweikampf,  Ort des Zweikampfes,  Sorge,  Angelegenheit,  Beschwerlichkeit, Plackerei,  Krankheit, Defekt,  Menstruation,  Notdurft,  Hinderniss	1138.0	Croatian or Serbian	True	1986.0	DISEASE
bájos	 Zauberer, Quacksalber,  anmutig, entzückend 	1387.0		False	823.0	SORCERER
bajusz	 Schnurrbart,  Ranke,  Bartfäden,  Granne	1522.0	unknown	False	1165.0	MOUSTACHE
bak	 bock,  Widder,  Sturmbock,  Art Gerüst aus Holz,  Kutschbock,  Art Turngerät	1138.0	loan	True	1344.0	RAM
bakló	 Beere,  fleischiger Lappen 〈am Kinn mancher Tiere〉,  Quaste, Zierat,  Auge 〈an Bäumen〉	1138.0	unknown	False	904.0	BERRY
baktat	 langsam gehen,  buchstabierend lesen,  Laufen,  humpeln, hinken,  nickend schlummern	1659.0		False	1443.0	WALK
bal	 linke,  böse,  falsch,  die linke Seite,  die linke Hand,  Linkshänder	1086.0	uncertain	False	45.0	EVIL
bála	 Bündel,  Ballen 〈auch als Maßeinheit〉	1355.0	loan	True	2943.0	BUNDLE
balgatag	 einfältig, unsinnig,  herumirrend,  unruhig hin und her gehend,  sich albern verhalten,  verrückt	1372.0		False	1899.0	MAD
balhé	 Ungelegenheit, Gefitze,  Lärm, Aufruhr	1862.0	loan	True	1182.0	NOISE
ballon	 Ball,  Luftschiff, Ballon,  Glasbehälter,  Ballonleinwand,  Mantel aus Ballonleinwand 	1793.0	international word	True	1845.0	BALL
bálvány	 Steinsäule, Grenzstein,  Pfosten,  Götze,  ein Bestandteil der Presse,  riesig, Riesen-,  ein Bestandteil des hölzernen Schiffes,  Floß,  großer Knüttel, Achse,  mit Steinsäulen versehen,  heidnisch lebend, bálványimádó	1001.0		False	1664.0	RAFT
bamba	 stumpfsinnig, tölpelhaft,  taub	1400.0	derived word	False	996.0	DEAF
bán¹	 bereuen,  übelnehmen,  bedauern,  beneiden,  Schader erleiden,  trauern	1372.0	uncertain	False	1955.0	GRIEVE
bán²	 Ban,  Kommandant einer Grenzfestung,  Herr	1138.0	Croatian or Serbian	True	3153.0	LORD
banán	 Bananenbaum,  Banane	1795.0	international word	True	868.0	BANANA
bánik	 sich um etw od jmdn kümmern,  mit jmdm umgehen,  gebrauchen, handhaben,  heilen,  geschlechtlich verkehren 	1470.0	paronymy	False	499.0	CURE
bánt	 behelligen,  mißhandeln,  hindern,  plagen 〈Krankheit〉,  beleidigen,  anrühren	1138.0	derived word	False	554.0	HINDER
banya	 altes Weib,  bösartige Alte,  Hexe,  Großmutter, 	1723.0	segmentation error	False	1496.0	GRANDMOTHER
bánya¹	 Bergwerk,  Metall,  Bergwerk	1217.0	Slavic	True	2244.0	METAL
bánya²	 Heilbad im Freien Bad,  Grube, in der Lehmziegel gestampft werden,  zerwühltes Lager von Schweinen	1577.0	Croatian or Serbian	True	2539.0	PIT (POTHOLE)
baraboly	 Kälberkropf,  Kerbel,  Kartoffel,  Erdnuß 	1588.0	Wanderwort	True	593.0	POTATO
barack	 Pfirsichbaum,  Pfirsich,  Aprikose,  Aprikosenbaum,  Kopfnuß	1395.0	Slavic	True	2043.0	PEACH
barát	 Mönch,  Nächster,  Freund,  Freund, szerzetesi állapot	1156.0	Slavic	True	1325.0	FRIEND
barázdabillegető	 Bachstelze 	1585.0	compound	False	3010.0	WAGTAIL
barbár	 Fremdling 〈haupts Nichtjude, Nichtgrieche, Nichtrömer〉,  Ungebildeter,  grober Mensch,  fremd, nichtgriechisch, nichtrömisch 〈Volk〉,  barbarisch	1416.0	Latin	True	109.0	FOREIGN
bárca	 Zettel,  Marke, Zeichen,  eingetragene Prostituierte	1819.0	unknown	False	1720.0	SIGN
bárka	 Barke,  Fischbehälter,  Kiste,  Wagen	1251.0	Croatian or Serbian	True	1465.0	BOX
barkó²	 Angehöriger einer ungarischen ethnographischen Gruppe in Nordostungarn,  von dieser ethnographischen Gruppe bewohnt, auf diese Gruppe bezüglich,  dumm, unanständig	1833.0	uncertain	False	1518.0	STUPID
barlang	 Grotte, Höhle,  Unterschlupf,  Spelunke 	1233.0	Slavic	True	1155.0	CAVE
barna	 braun	1255.0	loan	True	2409.0	BROWN
barom	 Vieh 〈Koll〉, Rind,  Herde,  vieh 〈pejor〉,  riesengroß,  Unsinn	1247.0	Turkic	True	2939.0	FLOCK (OF ANIMALS)
baszik	 vögeln, ficken,  aufreizen,  auf etw scheißen,  öfters ficken,  tadeln, molestieren 	1213.0	Turkic	True	549.0	COPULATE
bátor¹	 mutig,  sicher,  sanft,  schnell,  mutig werden,  mutig werden 	1086.0	Turkic	True	1631.0	FAST
bátya	 Onkel,  älterer Bruder,  〈als Anrede an einem Älteren〉	1271.0	uncertain	False	1759.0	OLDER BROTHER
batyu	 Bündel	1792.0	uncertain	False	2943.0	BUNDLE
bazár	 Markt,  Basar	1825.0	international word	True	633.0	MARKET
bazsalyog	 lächeln	1873.0	internal	False	1451.0	SMILE
be¹	 〈eine Verbalwortsilbe〉,  nach innen,  drinnen	1372.0	clipping	False	1606.0	INSIDE
be²	 wie !	1610.0	onomatopoetic	False	1239.0	HOW
becő	 Hülsenfrucht,  Weizen,  Schote, Hülse	1247.0	unknown	False	2363.0	CHAFF (HUSK)
becs	 〈kostbares〉 Deposit,  Maß, Maßgefäß,  Schätzung, Schätzungswert,  Verehrung,  Last,  Schatzmeister	1389.0		False	1679.0	LOAD
begy	 Kropf der Vögel,  Magen,  Fingerkuppe,  weibliche Brust,  stolz	1318.0	uncertain	False	819.0	STOMACH
béka	 Frosch, Kröte,  Geschwulst,  Art Pferde- und Viehkranheit,  Kind, Backfisch,  springender Feuerwerkskörper,  Bizeps	1295.0	Turkic	True	503.0	FROG
béke	 Ruhe,  Friede, Friedenschluß,  Bund,  sich versöhnen,  sich demütigen 	1086.0	unknown	False	3458.0	SILENCE
